,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,66.0,105.0,74.0,39.0,67.0,22.0,25.0,37.0,77.0
3051,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,15.0,11.0,22.0,12.0,22.0,13.0,13.0,16.0,23.0
3052,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,10.0,6.0,7.0,5.0,11.0,5.0,3.0,9.0,11.0
3053,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,12.0,9.0,2.0,9.0,10.0,10.0,5.0,10.0,19.0
3054,0.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,16.0,27.0,17.0,16.0,19.0,34.0,12.0,16.0,26.0,33.0
3055,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,43.0,70.0,64.0,52.0,27.0,52.0,61.0,36.0,50.0,53.0
3056,0.0,0.0,1.0,1.0,1.0,2.0,8.0,13.0,75.0,113.0,99.0,64.0,57.0,99.0,65.0,58.0,62.0,121.0
3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,36.0,33.0,35.0,30.0,43.0,31.0,26.0,32.0,51.0
3058,0.0,0.0,1.0,0.0,0.0,0.0,9.0,23.0,124.0,235.0,228.0,185.0,135.0,221.0,153.0,107.0,178.0,228.0
3059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,61.0,124.0,153.0,124.0,131.0,139.0,102.0,89.0,114.0,171.0
3060,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,37.0,63.0,77.0,54.0,56.0,48.0,51.0,26.0,24.0,80.0
3061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,19.0,43.0,32.0,41.0,47.0,53.0,55.0,58.0,69.0
3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,8.0,10.0
3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,6.0,4.0,8.0,5.0,6.0,5.0,4.0
3064,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,198.0,545.0,852.0,561.0,551.0,537.0,457.0,335.0,499.0,1214.0
3065,0.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,19.0,25.0,17.0,8.0,9.0,24.0,17.0,15.0,16.0,38.0
3066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,19.0,7.0,10.0,13.0,12.0,33.0,9.0,11.0,27.0
3067,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,10.0,12.0,17.0,12.0,10.0,25.0,6.0,14.0,13.0,19.0
3068,0.0,1.0,0.0,0.0,2.0,1.0,9.0,10.0,64.0,79.0,66.0,79.0,39.0,74.0,79.0,39.0,64.0,91.0
3070,0.0,0.0,1.0,1.0,0.0,3.0,28.0,29.0,81.0,204.0,137.0,107.0,109.0,161.0,87.0,96.0,73.0,211.0
3071,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,56.0,110.0,84.0,74.0,67.0,106.0,36.0,65.0,37.0,161.0
3072,0.0,0.0,0.0,0.0,2.0,1.0,7.0,18.0,73.0,213.0,183.0,158.0,105.0,196.0,76.0,102.0,80.0,302.0
3073,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,306.0,280.0,274.0,217.0,171.0,294.0,94.0,129.0,103.0,423.0
3074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,53.0,115.0,196.0,143.0,106.0,118.0,85.0,81.0,82.0,142.0
3075,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,40.0,107.0,180.0,162.0,124.0,123.0,77.0,59.0,79.0,154.0
3076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,320.0,230.0,306.0,227.0,189.0,223.0,143.0,110.0,140.0,238.0
3078,0.0,1.0,0.0,0.0,1.0,3.0,4.0,10.0,45.0,84.0,61.0,50.0,44.0,91.0,50.0,49.0,49.0,135.0
3079,0.0,0.0,0.0,0.0,0.0,1.0,11.0,9.0,54.0,106.0,80.0,70.0,55.0,66.0,42.0,47.0,49.0,82.0
3081,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,30.0,85.0,66.0,41.0,28.0,40.0,38.0,45.0,50.0,76.0
3082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,77.0,219.0,259.0,255.0,146.0,163.0,124.0,102.0,82.0,228.0
3083,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,268.0,263.0,268.0,180.0,129.0,154.0,90.0,92.0,105.0,226.0
3084,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,109.0,195.0,164.0,98.0,98.0,137.0,110.0,64.0,101.0,165.0
3085,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,40.0,115.0,85.0,55.0,62.0,82.0,46.0,51.0,49.0,88.0
3086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,32.0,63.0,68.0,44.0,36.0,47.0,36.0,30.0,31.0,47.0
3088,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,97.0,196.0,187.0,139.0,134.0,147.0,83.0,91.0,111.0,197.0
3089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,36.0,124.0,107.0,71.0,54.0,72.0,52.0,69.0,59.0,112.0
3090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,16.0,16.0,16.0,12.0,9.0,14.0,23.0,30.0
3091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,13.0,24.0,10.0,15.0,13.0,18.0,16.0,22.0,24.0
