,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
70,3082,2001,508535844.0,9451.0,10029.0,0.0,50706.53544720311,0.0
71,3083,2001,384427087.0,8310.0,8563.0,0.0,44893.97255634707,0.0
72,3084,2001,492750886.0,8692.0,9157.0,0.0,53811.388664409744,0.0
73,3085,2001,211912098.0,3663.0,4320.0,0.0,49053.72638888889,0.0
74,3086,2001,4836639.0,30.0,216.0,0.0,22391.847222222223,0.0
75,3087,2001,143535576.0,3336.0,3411.0,0.0,42080.20404573439,0.0
76,3088,2001,525629722.0,8430.0,9312.0,0.0,56446.49076460481,0.0
77,3089,2001,204152174.0,2706.0,2827.0,0.0,72215.1305270605,0.0
78,3090,2001,35802277.0,601.0,621.0,0.0,57652.61996779388,0.0
79,3091,2001,34278571.0,461.0,459.0,0.0,74680.9825708061,0.0
80,3093,2001,93785242.0,1566.0,1493.0,0.0,62816.6389819156,0.0
81,3094,2001,166925646.0,2912.0,2975.0,0.0,56109.460840336134,0.0
82,3095,2001,669136935.0,9350.0,9624.0,0.0,69527.94420199501,0.0
83,3096,2001,37225241.0,417.0,428.0,0.0,86974.86214953271,0.0
84,3097,2001,32972363.0,227.0,254.0,0.0,129812.45275590551,0.0
85,3099,2001,103081928.0,1544.0,1526.0,0.0,67550.4115334207,0.0
86,3101,2001,761276739.0,6366.0,8586.0,0.0,88664.8892382949,0.0
87,3102,2001,163444286.0,2326.0,2631.0,0.0,62122.495629038385,0.0
88,3103,2001,431996139.0,5334.0,6159.0,0.0,70140.6298100341,0.0
89,3104,2001,501175486.0,6823.0,7325.0,0.0,68419.86156996587,0.0
90,3105,2001,206965422.0,4032.0,4139.0,0.0,50003.72602077797,0.0
91,3106,2001,444746767.0,4869.0,5381.0,0.0,82651.32261661401,0.0
92,3107,2001,269469252.0,4836.0,4913.0,0.0,54848.20924078974,0.0
93,3108,2001,372181246.0,5811.0,6845.0,0.0,54372.71672753835,0.0
94,3109,2001,513063427.0,9544.0,9804.0,0.0,52332.05089759282,0.0
95,3111,2001,276900293.0,3896.0,4073.0,0.0,67984.35870365823,0.0
96,3113,2001,210092136.0,2547.0,2556.0,0.0,82195.67136150235,0.0
97,3114,2001,101750208.0,1059.0,1066.0,0.0,95450.47654784241,0.0
98,3115,2001,91267343.0,1475.0,1493.0,0.0,61130.16945746818,0.0
99,3116,2001,161300512.0,3209.0,3228.0,0.0,49969.179677819084,0.0
100,3121,2001,589498662.0,6772.0,11900.0,0.0,49537.70268907563,0.0
101,3122,2001,661679091.0,4430.0,8832.0,0.0,74918.37533967392,0.0
102,3123,2001,343663103.0,3801.0,5926.0,0.0,57992.42372595343,0.0
103,3124,2001,607400760.0,6128.0,7546.0,1.0,80493.07712695468,0.00016318537859007833
104,3125,2001,243230620.0,4387.0,4352.0,0.0,55889.388786764706,0.0
105,3126,2001,326086886.0,1981.0,2675.0,0.0,121901.63962616822,0.0
106,3127,2001,476925158.0,5247.0,6891.0,0.0,69209.86184878828,0.0
