,postcode,year,viable_buildings,total_buildings,total_income,num_installs,average_income,install_percent
78,3090,2001,601,621,35802277.0,0.0,57652.61996779388,0.0
79,3091,2001,461,459,34278571.0,0.0,74680.9825708061,0.0
80,3093,2001,1566,1493,93785242.0,0.0,62816.6389819156,0.0
81,3094,2001,2912,2975,166925646.0,0.0,56109.460840336134,0.0
82,3095,2001,9350,9624,669136935.0,0.0,69527.94420199501,0.0
83,3096,2001,417,428,37225241.0,0.0,86974.86214953271,0.0
84,3097,2001,227,254,32972363.0,0.0,129812.45275590551,0.0
85,3099,2001,1544,1526,103081928.0,0.0,67550.4115334207,0.0
86,3101,2001,6366,8586,761276739.0,0.0,88664.8892382949,0.0
87,3102,2001,2326,2631,163444286.0,0.0,62122.495629038385,0.0
88,3103,2001,5334,6159,431996139.0,0.0,70140.6298100341,0.0
89,3104,2001,6823,7325,501175486.0,0.0,68419.86156996587,0.0
90,3105,2001,4032,4139,206965422.0,0.0,50003.72602077797,0.0
91,3106,2001,4869,5381,444746767.0,0.0,82651.32261661401,0.0
92,3107,2001,4836,4913,269469252.0,0.0,54848.20924078974,0.0
93,3108,2001,5811,6845,372181246.0,0.0,54372.71672753835,0.0
94,3109,2001,9544,9804,513063427.0,0.0,52332.05089759282,0.0
95,3111,2001,3896,4073,276900293.0,0.0,67984.35870365823,0.0
96,3113,2001,2547,2556,210092136.0,0.0,82195.67136150235,0.0
97,3114,2001,1059,1066,101750208.0,0.0,95450.47654784241,0.0
98,3115,2001,1475,1493,91267343.0,0.0,61130.16945746818,0.0
99,3116,2001,3209,3228,161300512.0,0.0,49969.179677819084,0.0
100,3121,2001,6772,11900,589498662.0,0.0,49537.70268907563,0.0
101,3122,2001,4430,8832,661679091.0,0.0,74918.37533967392,0.0
102,3123,2001,3801,5926,343663103.0,0.0,57992.42372595343,0.0
103,3124,2001,6128,7546,607400760.0,1.0,80493.07712695468,0.00016318537859007833
104,3125,2001,4387,4352,243230620.0,0.0,55889.388786764706,0.0
105,3126,2001,1981,2675,326086886.0,0.0,121901.63962616822,0.0
106,3127,2001,5247,6891,476925158.0,0.0,69209.86184878828,0.0
107,3128,2001,4675,6356,286925925.0,1.0,45142.53067967275,0.000213903743315508
108,3129,2001,5494,6390,269619981.0,0.0,42194.050234741786,0.0
109,3130,2001,10271,11470,569858096.0,0.0,49682.48439407149,0.0
110,3131,2001,7597,8258,354342459.0,0.0,42908.992371034146,0.0
111,3132,2001,5558,5900,270268549.0,0.0,45808.2286440678,0.0
112,3133,2001,7861,7796,473477904.0,1.0,60733.44073884043,0.00012721027859051011
113,3134,2001,9732,11241,593432695.0,0.0,52791.806333956054,0.0
114,3135,2001,6178,7128,322443421.0,0.0,45236.170173961844,0.0
115,3136,2001,12375,15060,680731308.0,0.0,45201.28207171315,0.0
116,3137,2001,5010,4546,215586441.0,0.0,47423.326220853494,0.0
117,3138,2001,6373,6471,331619135.0,0.0,51246.96878380467,0.0
118,3139,2001,4252,4436,211593999.0,0.0,47699.27840396754,0.0
119,3140,2001,4379,4827,245734147.0,0.0,50908.25502382432,0.0
120,3141,2001,3136,10109,618771107.0,0.0,61209.92254426749,0.0
121,3142,2001,3398,6977,813424679.0,0.0,116586.59581482012,0.0
122,3143,2001,1762,4373,304613105.0,0.0,69657.69608964097,0.0
123,3144,2001,3291,4245,408147502.0,0.0,96147.82143698468,0.0
124,3145,2001,6702,8328,500566595.0,0.0,60106.45953410183,0.0
125,3146,2001,6802,8969,631234930.0,0.0,70379.63318095663,0.0
126,3147,2001,4328,5063,249957733.0,0.0,49369.49101323326,0.0
127,3148,2001,2099,2885,160668013.0,0.0,55690.819064124786,0.0
128,3149,2001,11201,12032,626329506.0,0.0,52055.31133643617,0.0
129,3150,2001,20568,21415,1225336805.0,0.0,57218.6226943731,0.0
130,3151,2001,3671,3979,177854930.0,0.0,44698.39909525006,0.0
131,3152,2001,10657,10965,612691210.0,0.0,55876.99133606931,0.0
132,3153,2001,6419,7358,295132364.0,0.0,40110.40554498505,0.0
133,3154,2001,1351,1355,81276438.0,0.0,59982.6110701107,0.0
134,3155,2001,7501,8151,339913354.0,0.0,41702.04318488529,0.0
135,3156,2001,11272,12051,615305691.0,0.0,51058.47572815534,0.0
136,3158,2001,2229,2281,127530342.0,0.0,55909.838667251206,0.0
137,3159,2001,1449,1455,45357857.0,0.0,31173.784879725084,0.0
138,3160,2001,3144,3282,162558171.0,0.0,49530.21663619744,0.0
139,3161,2001,4057,6055,328971247.0,0.0,54330.51147811726,0.0
140,3162,2001,5487,6481,414324266.0,0.0,63929.064341922545,0.0
141,3163,2001,6131,12459,528783794.0,0.0,42441.91299462236,0.0
142,3165,2001,8762,9772,391152769.0,0.0,40027.91332378223,0.0
143,3166,2001,6701,8146,319389906.0,0.0,39208.18880432114,0.0
144,3167,2001,3362,3335,167989568.0,0.0,50371.68455772114,0.0
145,3168,2001,3396,5672,212837433.0,0.0,37524.23007757405,0.0
146,3169,2001,5140,6276,231478273.0,0.0,36883.09002549395,0.0
147,3170,2001,5511,5405,323133389.0,0.0,59784.16077705828,0.0
148,3171,2001,4362,6633,207191519.0,0.0,31236.47203377054,0.0
149,3172,2001,6768,7498,352461770.0,0.0,47007.43798346226,0.0
150,3173,2001,5069,5131,246711790.0,0.0,48082.594036250244,0.0
151,3174,2001,9988,12858,430987480.0,0.0,33519.01384352154,0.0
152,3175,2001,13290,16323,564432437.0,0.0,34578.96446731606,0.0
153,3177,2001,3282,3686,103622159.0,0.0,28112.360010851873,0.0
154,3178,2001,10597,10744,610142134.0,0.0,56789.10405807893,0.0
155,3179,2001,2024,2058,109040049.0,0.0,52983.50291545189,0.0
156,3180,2001,2080,2122,128021966.0,0.0,60330.80395852969,0.0
157,3181,2001,4258,8519,420533376.0,0.0,49364.17138161756,0.0
158,3182,2001,2536,11444,499336652.0,0.0,43633.05242922055,0.0
159,3183,2001,2935,8907,307985261.0,0.0,34577.88941282138,0.0
160,3184,2001,2509,7617,366077752.0,0.0,48060.621241958775,0.0
161,3185,2001,3419,5451,287560837.0,0.0,52753.77673821317,0.0
162,3186,2001,6946,8447,922044122.0,0.0,109156.40132591453,0.0
163,3187,2001,5277,6231,372680624.0,0.0,59810.72444230461,0.0
164,3188,2001,4784,6576,360407781.0,0.0,54806.536040145984,0.0
165,3189,2001,1792,1998,131770086.0,0.0,65950.993993994,0.0
166,3190,2001,2817,4072,157066508.0,0.0,38572.32514734774,0.0
167,3191,2001,3000,3443,245056475.0,0.0,71175.2759221609,0.0
168,3192,2001,6913,8394,360933057.0,0.0,42998.9345961401,0.0
169,3193,2001,6483,7394,522455807.0,0.0,70659.4275087909,0.0
170,3194,2001,3577,5099,314711763.0,0.0,61720.29084134144,0.0
171,3195,2001,9287,11571,477535050.0,0.0,41269.98962924553,0.0
172,3196,2001,8011,9504,337404884.0,0.0,35501.35563973064,0.0
173,3197,2001,4271,4513,226978771.0,0.0,50294.43186350543,0.0
174,3198,2001,6023,7209,228004214.0,0.0,31627.717297822168,0.0
175,3199,2001,19936,22007,824598494.0,0.0,37469.82750942882,0.0
176,3200,2001,2459,2426,62889082.0,0.0,25922.952184666115,0.0
177,3201,2001,5094,5456,228375728.0,0.0,41857.72140762463,0.0
