decile,sd_income
0,45180.5594350393
1,36384.75311616977
2,31018.669243357366
3,41959.04901872774
4,39048.09476853286
5,32773.30801003809
6,33008.61528388288
7,74874.51243558775
8,24068.455190647892
9,18177.514665515297
