Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n,solar_min_yr,solar_max_yr,solar_pen_cum_n_yr,income_min_yr,income_max_yr,average_income_n_yr
23,3029,2001,657476509.0,8158.0,8507.0,0.0,77286.52979898907,0.0,0.0,20611.277777777777,0.0,0.0,0.0,0.01353232658035,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04983031275547798
24,3030,2001,741403900.0,10530.0,11984.0,0.0,61866.14652870494,0.0,0.0,24619.666666666668,0.0,0.0,0.0,0.0106594398541755,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.039251433859353195
25,3031,2001,287567381.0,4842.0,7648.0,0.0,37600.33747384937,0.0,0.0,4917.722222222223,0.0,0.0,0.0,0.0061386105393868,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02260430837561188
26,3032,2001,356344868.0,5838.0,8070.0,0.0,44156.73705080545,0.0,0.0,7160.111111111111,0.0,0.0,0.0,0.0073600972551178,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02710220936182674
27,3033,2001,245541944.0,4666.0,4761.0,0.0,51573.60722537282,0.0,0.0,5109.0,0.0,0.0,0.0,0.0087418935114622,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03219042085370507
28,3034,2001,183923958.0,4128.0,4095.0,0.0,44914.27545787546,0.0,0.0,4219.944444444444,0.0,0.0,0.0,0.0075012300658977,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02762190507412464
29,3036,2001,150935588.0,2142.0,2146.0,0.0,70333.45200372787,0.0,0.0,2203.055555555556,0.0,0.0,0.0,0.0122369369292667,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04506027775296619
30,3037,2001,408785746.0,10402.0,10354.0,0.0,39480.94900521538,0.0,0.0,13534.166666666666,0.0,0.0,0.0,0.0064889769220411,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.023894468373081915
31,3038,2001,560281919.0,8699.0,9073.0,0.0,61752.66383776039,0.0,0.0,9086.388888888889,0.0,0.0,0.0,0.0106382975186868,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0391735810833705
32,3039,2001,276351066.0,4251.0,5439.0,0.0,50809.16822945394,0.0,0.0,4363.722222222223,0.0,0.0,0.0,0.0085994750899579,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03166599111551011
