,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2000,6110,13865,731346091,52748,2200,27490325,13865,236069905,17026,0.32,4315,19921790,13825,236261967,13865,165136942,1570,-3502409,1010,48857515,13850,777097380,11730,44732867,10070,38191048,80,-2503948,790,60570842,12005,457544889,7130,8739304,460,332582,10010,16217678,250,987909,280,875540
4,2006,45,120,5526344,46053,30,67292,120,1505046,12542,0.27,45,61439,120,1460639,120,1307858,10,-81623,10,298843,120,5840941,95,312455,90,103359,0,0,10,56030,110,4887307,90,74256,5,4613,85,187250,20,88254,5,6215
5,2007,815,2465,102682916,41656,495,934288,2465,25215735,10230,0.25,1040,1800276,2455,25221257,2465,23279469,310,-2121090,175,863136,2460,107967332,2085,5259694,1610,2405586,15,-245138,155,3358108,2275,92735817,1750,1342486,140,77081,1870,3843515,145,577163,110,291936
6,2008,675,3105,138204451,44510,645,1289175,3105,35394342,11399,0.26,1315,1793074,3105,34335475,3105,32838249,345,-1705142,225,1354184,3105,145864779,2690,7612731,1870,2335165,10,-113028,250,3834826,2905,125635743,2470,1901942,260,154133,2380,4667259,300,1325900,240,661779
7,2009,1040,6310,371148857,58819,1570,11498075,6310,111569348,17681,0.3,2725,6363996,6305,109172277,6310,92351342,990,-6746543,615,12216722,6305,391961989,5480,19936498,3715,14613390,45,-1135525,360,11205422,5820,301583939,5015,5074562,495,286634,4800,11361925,195,688825,340,1054836
8,2010,1945,13470,749373702,55633,3040,9297149,13470,217709172,16163,0.29,5370,9763754,13465,211140463,13470,193881836,1755,-10803046,1080,12265189,13465,789944648,11690,40089577,7680,14128586,85,-2110084,1330,37089527,12285,649473274,11150,10406756,1235,758239,10170,26219786,795,3072050,810,2457529
9,2011,1390,10420,761743987,73104,3025,24526571,10420,247437918,23746,0.32,4805,19232526,10410,244105687,10415,197559464,1580,-7434087,1235,29551141,10410,811320436,9000,47073356,6195,32636354,85,-2942292,1015,31697798,9010,556827642,8810,10572895,970,673431,7295,21222484,445,1637122,575,1726696
10,2015,475,4765,257385874,54016,1245,2315004,4765,70722894,14842,0.27,1980,2154465,4765,68073844,4765,65216707,685,-4651930,395,2363824,4765,271448445,4330,13918011,2595,3744265,25,-383231,425,9675242,4465,239325632,4250,3673891,440,264828,3860,10648069,245,916627,325,924411
11,2016,830,5350,275790589,51550,1330,2114656,5350,75936424,14194,0.28,2145,4293026,5345,73757689,5350,68723887,810,-4992124,420,3999020,5345,290312233,4700,14392705,3220,4217419,35,-953409,520,11552462,4915,241130720,4505,3884157,445,274636,4190,10010052,390,1572011,295,776937
12,2017,715,4080,188675747,46244,745,769832,4080,47974254,11758,0.25,1570,2016062,4075,46298321,4080,46442670,495,-3639681,300,1732418,4080,199928753,3600,11128847,2195,1892075,15,-153566,320,6155143,3805,180696015,3345,2548772,325,188972,3280,9017782,300,1231491,235,621725
13,2018,1285,5745,236247623,41122,1395,1753608,5745,55275843,9622,0.23,2270,4303606,5745,54568711,5745,50704899,1110,-4020278,400,2384368,5745,247812597,5160,11483858,3725,4540766,15,-133162,460,7461299,5055,213225422,4650,3206041,265,154252,4545,8419366,300,1142294,195,531608
14,2019,700,4290,199292480,46455,1200,1702965,4290,49326044,11498,0.25,1535,2931233,4285,48591456,4290,45160081,745,-3539511,320,2113686,4290,209247308,3940,9873017,2655,3997964,10,-90744,310,5350210,3875,180604584,3720,2755393,215,131519,3510,7021694,175,653885,100,264170
15,2020,890,4700,190272401,40483,1070,874518,4700,43643737,9286,0.23,1720,3177197,4700,42836496,4700,40688604,845,-2824635,265,1915957,4700,199594948,4255,9245319,2960,2906428,15,-271979,295,4829156,4235,176482583,3950,2627460,180,104132,3815,6720835,240,895963,120,297367
16,2021,1055,8580,727407400,84779,3165,20664328,8580,250129687,29153,0.34,4275,16826125,8570,245530415,8580,190490175,1575,-7226399,1250,26200327,8580,782310231,7335,54310196,5420,27231175,120,-5017209,910,54735339,7235,519667088,7485,10397697,720,505608,5700,18042532,340,1335572,485,1449769
17,2022,1180,6420,400514730,62385,2155,9459507,6420,123229936,19195,0.31,2940,13411974,6410,121517621,6415,93545995,1165,-606798,840,11360431,6415,424929846,5520,23821153,4355,15715669,35,-1594639,615,24953023,5200,286147387,5125,5443902,390,232580,4225,10092739,235,852257,235,649681
18,2023,730,5405,628597113,116299,2705,46057099,5405,237402074,43923,0.38,3035,23713097,5400,233750776,5400,143571333,1225,5972839,1075,47898866,5400,684378115,4440,54539345,3950,51751002,70,-3865307,605,36445694,3945,302165641,4780,9007732,240,190979,2860,10055877,135,505804,200,607949
19,2024,900,5970,424836314,71162,2270,14490713,5970,136889174,22930,0.32,2970,13297677,5970,134493760,5965,102062169,1205,-3861378,830,15195091,5970,460720776,5190,35591319,3965,18609309,45,-3448231,730,28536804,4865,299145243,5230,6075961,375,253009,3995,11029718,210,765904,245,677798
20,2025,635,4370,446277307,102123,2150,23462954,4370,160604483,36752,0.36,2455,17414894,4365,159535995,4370,104273781,900,2065125,860,18947473,4365,482918417,3775,35855821,3165,29126925,60,-1692569,515,27125584,3145,255226762,3910,6440324,230,152681,2365,8257377,100,354659,155,480764
21,2026,2860,17390,982866365,56519,4930,18537907,17390,290006794,16677,0.3,7205,20092585,17375,283119409,17385,241094334,2720,-6795193,1825,23291055,17380,1041292918,14965,57981926,10875,26549472,110,-2867118,2060,50938784,14920,783701837,14240,13679226,1320,855445,12345,33219821,820,2983897,715,2034405
22,2027,715,4860,696877287,143390,2725,69557876,4860,272934228,56159,0.39,3055,37376128,4850,270472819,4855,142897181,1105,8582341,1240,86459618,4855,767009678,4100,69278656,3730,77542696,80,-6174240,490,27025626,3085,256862319,4305,10029768,270,222933,2210,7633216,110,372367,170,538063
23,2028,450,2955,293733025,99402,1445,17617798,2955,104016571,35200,0.35,1750,14482898,2950,104375920,2955,63133988,665,2556974,610,20883778,2950,318299826,2500,24527141,2130,22260442,35,-1314654,320,18124663,2015,149574123,2565,4096428,150,91902,1535,5245436,85,294051,130,409377
24,2029,930,5475,488699666,89260,2445,27513280,5475,170991633,31231,0.35,3050,21217259,5475,168817477,5475,107537172,1150,3276817,990,41334554,5475,527916430,4615,37746147,3910,32622640,55,-825909,605,37259104,4060,255900194,4820,6967059,245,156982,3025,9147425,140,509613,180,552564
25,2030,1310,7745,914256526,118045,4180,73741418,7745,343442494,44344,0.38,4515,36686366,7740,342467673,7735,197662459,1960,6283818,1630,99691534,7740,1019753566,6230,104504499,5985,86129146,90,-2743165,890,53833478,5230,397983004,6760,12966119,235,172583,3600,11176527,160,590503,185,495869
26,2031,2870,17785,1058482063,59515,6105,25067771,17785,313787575,17643,0.3,8885,23581414,17775,306641606,17785,253592273,3065,-8170849,2100,21649907,17780,1116383583,15665,57640583,11415,34172695,110,-2295002,1695,59022593,15365,826296844,15230,14946111,1250,756173,12885,30956598,745,2961115,865,2443682
27,2032,1865,6425,290556373,45223,2085,4187090,6425,74424692,11584,0.26,3130,8677182,6420,73263210,6420,61747536,1290,-1848192,660,4467629,6420,304899898,5590,14314544,4575,7376294,30,-453789,465,11470236,5455,234714929,5125,4002362,290,165538,4615,8538361,330,1426642,215,584425
28,2033,1115,4990,264351147,52976,1695,5871572,4990,74519368,14934,0.28,2560,9472816,4985,73388229,4990,56829211,895,-1322613,610,6765144,4985,279615098,4365,15143255,3410,8705025,25,-475670,395,14021654,4205,198793480,4065,3663388,280,165387,3515,7758574,260,1016397,245,717660
29,2034,1595,11305,675529387,59755,3825,14590562,11305,199294894,17629,0.3,5355,17252643,11300,195861811,11305,161306707,2180,-4757863,1310,17746639,11305,713163967,9890,37301234,7125,21260971,75,-493527,1045,36245303,9640,519015319,9370,9244205,845,551994,8045,20099672,460,1774682,555,1558418
30,2035,3020,14685,739110806,50331,5330,14536777,14685,198269298,13501,0.27,7095,21315305,14670,195284509,14680,161198038,3290,-6265371,1670,18274333,14670,779133460,12900,39626368,10000,22645451,70,-2283327,1220,32862704,12205,582887264,12285,10241046,705,422327,10425,22599700,645,2487916,465,1273934
31,2036,2285,11215,493339457,43989,3455,4804081,11215,120194581,10717,0.24,4615,9284446,11210,118716794,11215,107313976,2215,-8939688,985,9847533,11215,517341682,10140,23899071,7530,10752645,40,-476129,830,18182466,9810,428009214,9415,6804384,500,309786,8660,15890165,560,2242106,240,639157
32,2037,1100,6555,385504414,58811,2085,7244182,6555,114833160,17518,0.3,2940,7241299,6550,112826514,6555,93433187,1090,-3575883,745,9452611,6555,408154815,5685,22605240,4265,11194640,50,-1708009,640,23102533,5840,304332370,5560,5459459,530,339087,4680,10253295,570,2237910,400,1130473
33,2038,565,4710,300787969,63862,1670,4136750,4710,90726102,19262,0.3,2325,4486148,4710,88556854,4710,77597903,885,-3860003,570,5528322,4710,316010065,4160,15096797,2910,6734457,25,-501236,525,15282891,4195,250067139,4250,4354934,425,264775,3460,8946331,225,860010,265,761716
34,2039,560,4430,304864152,68818,1550,3564040,4430,94894203,21421,0.31,2105,4908338,4430,92476079,4430,83593173,865,-6576805,545,8273125,4430,321033408,3950,16059062,2680,5892842,50,-2072685,440,14992091,3915,256701738,3920,4304423,395,269643,3290,9334249,140,459014,225,692218
35,2040,1365,10115,589611965,58291,3440,6642499,10115,170535498,16860,0.29,4640,8331801,10115,165517465,10115,153832975,1845,-10312737,1100,11624389,10115,618501040,9050,28314107,6325,10902535,70,-2479452,935,23434928,9120,516378297,9000,8465014,715,451863,7720,18705731,475,1887034,490,1429625
36,2041,1110,8870,769650470,86770,3585,23369800,8870,264205224,29786,0.34,4625,14616089,8865,258913725,8870,206675176,1895,-10421703,1360,38270781,8870,814934937,7765,44603931,5685,29947564,90,-2925458,895,37958277,7610,560761432,7940,11081013,735,493197,6100,18217549,250,893123,385,1160214
37,2042,1280,9595,478258441,49845,2410,3776159,9595,127819680,13321,0.27,4160,5417136,9590,124513934,9595,117193574,1345,-5606720,765,4207731,9595,499666295,8440,21167329,5560,8061265,30,-427667,930,17850704,8865,428998789,8265,6802119,875,535488,7350,14438149,880,3608548,690,1912848
38,2043,320,3355,182147619,54291,890,1555151,3355,50371741,15014,0.28,1520,1478869,3350,48270319,3355,47619598,490,-3579263,295,2058602,3355,190750648,3005,8611982,1755,2373401,20,-172078,305,4840603,3175,171940353,3030,2627097,360,210219,2680,6254428,210,790906,270,771749
39,2044,585,3420,150019550,43865,760,739700,3420,36550963,10687,0.24,1305,1735533,3420,35347664,3420,33881039,520,-3030888,195,1469662,3420,157237151,3120,7168099,2025,1907401,15,31494,290,5571213,3170,139974310,2955,2123035,255,156923,2820,5465055,225,812746,140,378417
40,2045,605,3255,203059590,62384,1490,3460304,3255,61381350,18858,0.3,1790,5721577,3255,60560302,3255,46890693,960,-800697,440,11781151,3255,213232780,2815,10098521,2405,5755150,25,-101915,335,10653173,2560,141468231,2860,2922546,140,85623,2110,4635246,115,484442,60,159068
41,2046,2220,12380,708930224,57264,4820,10924098,12380,201601452,16284,0.28,6525,17813603,12375,197935536,12380,171696108,3065,-10265873,1490,14274978,12380,745572039,11020,36072665,8265,18161915,60,-1486082,985,24613087,10545,586023947,10900,10097188,650,392126,8855,22127689,395,1326295,450,1300751
42,2047,910,6005,421294516,70157,2640,11492023,6005,131082794,21829,0.31,3270,12594148,6000,129417183,6005,100944673,1475,-4979964,895,10491331,6005,446924287,5295,25303877,4080,16321451,40,-1139775,510,17195349,4975,311246410,5410,6039244,350,210287,4035,11379409,165,551043,250,752270
