,"Taxation statistics 2012–13 Individuals: Selected items, by state/territory and postcode, 2012–13 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139
469,NSW,2626,280,155,280,14068191,230,2688969.77,200,191461.86,0,1577.95,210,2743232.94,0,13687.27,205,11988075,40,313665,0,30529,0,9703,10,25939,20,191363,0,17998,25,737589,175,152182,15,1710,65,192359,65,82364,280,14676049,80,176358,25,26568,115,26986,15,28317,135,135317,0,857,10,434,10,16988,85,31780,115,41788,225,599076,10,37810,10,156682,25,92898,45,-558766,35,548118,0,814.7,0,32742,10,368889,0,25652,15,27453,15,69006,20,218890,15,16201,10,5632,0,41.61,35,528664,30,221199,15,22580,35,265909,15,159819,20,-140843,35,18976,10,2406,0,2740,10,82441,20,30968,0,0,15,5644.4,145,42630.33,30,13531.81,0,5894.89,7,159582,21,1498057,30,1657639,30,1259658,11,-214718,21,606633,30,391915
470,NSW,2627,2520,1555,2505,114714543,2000,20948948,1750,1525776.65,15,24155.59,1815,21053562,55,197980.66,2050,88463260,420,1173259,20,447361,20,490887,170,833817,100,941713,30,391729,35,951944,1445,2911562,170,187013,635,3523170,630,1509720,2510,120829219,590,1469892,210,271290,1275,377010,155,206938,1175,1176034,125,66988,60,644800,35,105243,665,225884,1085,436766,2000,5861441,45,104314.28,55,684886,190,1441196,50,459019,380,9491820,100,692547.92,40,495911,0,65291,60,618741,75,989512,105,2874394,185,4365588,120,482726,90,182149,105,270027.37,495,9291867,385,4084201,175,533319,490,4727241,230,1912242,265,-1966222,495,-53980,205,167470,40,531374,45,573862,140,300911,20,13963.16,120,82680.25,1430,469488.75,185,79104.64,40,287484.5,30,552619,317,20374621,340,20927240,335,15526744,34,-533702,326,5372595,350,4838893
471,NSW,2628,990,565,980,40014390,760,6604406,615,507481.9,0,3767.25,660,6448137,20,58791.05,715,30797395,175,396653,15,198435,15,106584,55,280903,80,839388,15,162436,20,668621,630,1375784,120,54469,305,1158155,305,496422,990,42228793,200,510577,70,151371,455,121663,40,40222,400,429263,45,15970,10,29700,15,45365,280,89268,400,129837,750,1891741,20,53736.12,25,447941,70,466086,135,693327,150,2049124,25,77284.08,10,62086,30,704569,25,272424,30,264178,45,1100747,95,1676463,35,41215,25,15299,20,41498.28,160,2299882,105,1012090,50,105774,160,1090547,80,594307,85,-502836,165,91471,80,89905,15,54475,20,235011,45,93203,0,338,55,55074.29,545,173168.15,100,43322.16,25,158407,54,2630292,118,7284604,160,9914896,165,8563445,57,-598709,122,1575139,165,976430
472,NSW,2629,305,145,300,10827582,210,1700497.33,160,124530.92,0,3537.46,175,1582309.39,0,20415.86,210,8258804,65,156450,0,1390,0,5170,25,157613,30,298832,0,36342,15,468323,160,320729,20,3173,85,209716,85,89877,305,11208368,50,122837,15,13456,135,30692,0,4055,100,68920,15,3757,0,169,0,3232,60,16436,140,49919,220,370571,10,20124.46,0,52340,10,62643,30,-12912,65,566395,15,17621.36,0,7952,0,94015,10,87837,10,26172,10,180333,20,368062,20,77120,10,3852,15,3086.81,50,552522,40,294558,20,32053,50,322116,20,95075,30,-191280,50,-96205,30,22299,0,134,0,28407,15,20350,0,1173,10,4209.12,155,52158.97,25,9215,0,112773.7,10,638591,21,776290,30,1414881,30,1245106,10,-78653,23,177052,30,98399
473,NSW,2630,4955,2795,4925,225078649,3960,41093267,3335,2959401.61,65,70084,3510,41108631,115,398435.97,3705,172465128,965,1903861,50,565826,35,455490,370,2169571,400,3593113,75,994465,215,6012526,3080,6648655,495,322061,1495,6477490,1495,2776037,4940,235179911,905,2033789,365,581210,2415,552728,240,383431,1975,1859476,215,115590,110,107906,90,229638,1655,755089,2175,822007,3935,9491608,195,540296.47,135,2135097,420,3409756,365,1035642,835,14405606,245,1336572.25,55,1490533,75,2195347,80,1129971,190,1974045,315,8105730,425,7727277,285,907251,225,126891,200,75312,820,13257864,625,6269645,325,685418,820,6325254,375,2885813,455,-2908266,825,-22453,375,291750,35,126428,95,1489779,230,542597,20,23223,255,172801.02,2745,882708.73,525,226115.64,80,349305.16,94,3993529,410,32634190,490,37093055,495,29645739,107,-1755629,421,7688223,510,5772344
474,NSW,2631,350,185,345,14685271,250,2891702.67,195,188785.44,0,4686.5,210,2726644.93,0,17485.39,220,9321261,70,150443,0,0,0,1227,25,143382,25,269045,0,48997,10,370050,200,609081,25,30860,100,322442,100,138154,350,16048511,65,163609,30,63069,150,39082,10,8870,120,159295,15,6473,0,305,0,106148,90,22401,130,54639,255,1090948,10,24888.7,15,260532,25,107247,95,1842707,70,611906,0,7602.6,0,135320,0,100481,0,0,15,185557,25,583060,35,1999154,10,343807,10,2034,0,99313.24,45,645087,30,322258,25,45409,45,289849,20,205465,25,-217894,45,-12429,30,12028,0,121164,20,432395,20,34452,0,3865,15,8894.08,180,57162.84,45,19154.22,0,24861.83,21,1613335,38,2823893,55,4437228,55,3936118,23,-253064,38,754870,55,501806
475,NSW,2632,1080,410,1075,47282173,860,8228214,735,618854,25,34458.39,775,8123996,15,57914.95,810,35146319,245,523118,10,41765,10,48407,70,401842,85,739827,15,247578,20,612564,650,1678260,140,81246,355,2082728,355,892095,1080,49780748,240,709974,45,68853,625,164563,40,77033,470,409503,40,8653,15,3233,15,29080,325,92660,575,120789,895,2425716,25,65922,40,650234,80,512454,180,677803,200,3184660,45,49387,0,140211,20,211963,10,74934,25,202675,45,841756,70,1182391,45,73106,35,19831,35,3383.67,125,1616622,85,659561,40,88948,120,845532,60,452325,65,-429744,125,22581,80,23733,0,21619,30,672812,45,67194,0,1849,40,25303.04,595,195401.74,140,60549.49,15,243047.76,50,2865543,57,4032049,105,6897592,105,5179381,54,308010,59,1375300,110,1683310
476,NSW,2633,225,80,225,7376081,160,1046937.78,125,87754.74,0,3147.88,135,1006880.37,0,2606.85,155,5351791,45,84050,0,0,0,1991,20,112187,25,241582,0,29508,0,139519,135,186048,20,2994,70,97906,70,41946,225,7841889,50,125112,10,31249,105,26622,0,8033,75,74970,0,158,0,326,0,5725,60,8208,105,19596,150,457484,0,14442.37,10,147683,15,53418,75,471407,45,372082,10,1096.5,0,0,0,45250,0,13572,0,110242,10,217313,10,327339,0,4967,0,4181,0,2.57,15,161916,10,104194,0,2982,20,86660,0,20321,10,-52241,20,-31920,10,1451,0,7719,10,144973,10,12512,0,0,10,7399.21,115,40001,30,11842.98,0,592.63,15,742469,20,1653212,30,2394216,30,1935781,15,90747,20,364435,30,457809
477,NSW,2640,19725,11560,19640,992673933,16035,195691550,13945,13309609,180,210401.27,14675,199906437,665,2203531,15655,766977047,4065,14186004,275,3908107,305,4252629,1565,8877369,1205,11322981,285,5386104,330,7847316,11960,21724498,2230,1760140,5805,30241256,5800,12955860,19670,1040423065,4860,10787193,1595,3686928,10745,2654867,935,1330563,9680,9824289,465,129372,515,1469141,475,1482892,7070,2298335,9130,3246120,16355,45409556,370,1063083.17,1195,21544628,2155,17636766,295,-1248035,3555,87835420,1500,5764254,90,1560845,65,1374322,225,1741768,935,8057465,1430,23122000,1930,32511636,1340,2597995,1235,743672,1130,432892.28,3000,46916034,2460,25717729,1235,2842007,3005,21777503,1145,8994308,1880,-12408078,3025,-3413770,1205,971612,380,613239,425,6176300,1095,2257671,95,45731.09,755,409340.79,10805,3435856.08,1610,673848.91,450,1472324.16,135,5727546,1474,166746046,1585,172349858,1555,123733343,164,-1662491,1496,48521414,1635,46797240
478,NSW,2641,8300,3830,8270,354519148,6710,58533589,5705,4581694,55,65401.23,6040,59321917,170,542819,6800,296732133,1840,3617148,150,1635324,135,836901,815,4672968,660,6094344,90,1312253,135,2770140,4650,5791433,690,184679,1990,7362895,1980,3153449,8280,369797943,1960,3926961,565,1520181,5110,1302131,385,544496,4025,3387003,170,44080,145,288691,105,307573,2795,571817,4025,1089043,6970,14961630,115,271179,370,6960737,660,4130155,35,-167564,995,18202625,370,757849.46,40,376819,15,155644,70,354386,280,1413795,375,4024058,485,5523272,365,217915,340,99095,315,31046.12,845,11178874,675,5873373,325,624712,855,5055861,325,2385498,535,-2760570,865,-375072,435,787374,115,307790,125,1289350,350,685955,45,19954,280,135105,5015,1613488.96,815,350242.76,215,535526.53,26,1099766,591,48271770,610,49371536,595,36258066,33,-134705,605,12662320,630,12527615
