,"Taxation statistics 2016–17 Individuals: Selected items, by state/territory1 and postcode, 2016–17 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151
2420,WA,6155,31586,31217,1823040954,24828,398246149.1,21338,32932625.87,319,430767.02,21318,33308385.81,23114,419934562.98,900,3799584.89,25340,1609049154,24462,420252844.21,4213,16240219,540,7452619,589,11359137,1476,8493662,1346,14050920,199,2332961,297,8841566,18057,17962032,2119,1041514,6040,24716063,6022,10292060,31258,1889690126,7719,15343161,2403,2969147,14652,3612447,1259,2599368,16305,17637850,20077,42161973,1180,518337,546,974705,482,1337836,9738,4200421,12839,4404709,23679,65033327,1356,29549938,953,14859211,3716,40478285,79,1344340,3714,89457789,1438,7356424.2,470,10167877,26,324153,389,5313758,1344,14759319,1005,3315477.23,1809,35893757,2294,54160783,1678,16802186,1218,3291834,1101,2693320.36,6324,110939066,5722,79513129,3886,13593578,6442,63606135,1490,10180741,4990,-55954517,6485,-45773776,432,1702459,199,1271804,313,6121862,1961,5129415,107,1825755,2323,188507136,2423,190332891,2350,135920408,124,589973,2419,49872819,2532,50462792,1383,10976873.68,335,881276.8,1760,712500.03,13758,4326841.23,23984,20343,12184974,2041,585482.59,5312,1557774.69
2421,WA,6156,10395,10306,823591185,8536,217773682.39,7475,15400695.95,124,149406.23,7466,15518749.13,7906,229384016.7,483,2057960.84,7782,598361122,7532,175220620.3,1368,6397339,160,2292754,195,4843243,512,3187752,495,5246198,75,1576531,184,6551443,6245,12190596,1062,577063,2814,30276632,2808,12674475,10321,855597310,2473,5641287,770,1052379,3867,935703,366,986984,5041,6114989,6120,14731342,277,110592,249,822264,346,1208494,3367,1709742,4294,2548101,7972,31182477,413,9236335,377,7204018,1363,16518958,47,959118,2089,108559697,1038,12655341.01,163,3082521,14,167515,137,1163697,739,13754365,582,4258072.59,1058,34912502,1278,50464509,856,11021472,658,3095505,643,2153214.94,1906,41212371,1560,23966894,1036,3593852,1929,20819073,654,7303969,1284,-14471417,1939,-7167448,272,1224111,104,1090662,245,7111241,788,2873624,27,1313602,875,109462270,901,110921122,872,82104341,37,345734,905,27568632,939,27914366,559,7572201.39,197,754667.8,751,358765.66,3968,1224826.57,8676,7185,4782894,816,248400.61,2648,1049322.88
2422,WA,6157,8616,8549,616788355,7122,151753744.44,6241,11422620.99,97,110330.38,6229,11513041.38,6579,159266486.65,393,1670085.29,6597,477985971,6391,135263987.1,1090,4714086,147,2937434,174,4889492,419,2564275,444,4624332,89,1256649,182,6062416,5198,8375040,813,785347,2160,17830395,2159,7448732,8556,643089029,2142,4641688,729,890987,3369,803121,309,661492,4418,5170995,5292,12168283,244,113894,201,771414,241,1170395,2902,1626195,3749,1776171,6743,25492874,426,9163849,285,4415855,1167,13604487,33,1352332,1471,51079743,685,5672808.42,128,3431986,7,595360,132,1229120,508,8034745,390,2197553.86,752,23152152,1031,35171948,686,7899450,526,2644784,495,1227524.88,1456,30217707,1180,17144380,774,2542135,1465,15933643,523,4985366,951,-10387817,1476,-5402451,166,809573,84,529602,202,5784637,654,1948178,37,1275894,763,71739996,797,73015890,775,45199246,46,-402246,786,26136270,827,25734024,497,7107754.09,188,606552.57,629,286656.54,3417,1060592.67,7149,5973,3808580,709,201253.83,2014,682744.74
2423,WA,6158,4952,4899,421183215,4023,115867799.73,3528,7940918.45,58,79342.98,3527,8010039.95,3727,122229667.07,205,876950.46,3548,282337755,3411,84209566.07,586,3396173,70,1543085,67,2716938,225,1357671,173,1894660,42,669452,77,3001051,3027,5385289,568,439665,1474,19014937,1471,7797708,4916,440825191,1057,2278328,356,695401,1432,358516,154,404711,2265,3109539,2722,6846495,167,94133,172,813329,182,861824,1646,1147031,2059,1357775,3751,18017948,239,5344124,170,3186290,799,12816716,31,1076304,1181,62681499,561,8296394.55,75,1772903,10,198760,92,1370814,406,13384948,321,4762228.5,571,31727828,756,28364529,474,5611960,380,1213198,357,872093.59,1092,24836718,859,13323471,594,2158574,1110,13644475,422,4427044,687,-8716846,1115,-4289802,147,514258,54,1507351,164,5138273,419,1695719,22,1423189,493,59766947,511,61190136,500,38158118,36,497054,504,21595192,534,22092246,318,6918892.7,83,299325.63,405,220795.3,1816,565703.38,4212,3369,2254334,373,111988.37,1385,592104.82
2424,WA,6159,2457,2440,259267967,2018,78954555.1,1768,4871977.54,47,67550.96,1766,4931597.14,1873,83149245.35,130,594747.63,1679,143271848,1607,44329188.99,300,2787589,35,629406,41,1012322,125,835768,88,932224,38,1367253,45,1769704,1541,3639866,267,492267,693,20986822,692,8847075,2440,275792610,500,1370732,197,348146,626,166858,94,306015,1065,1656112,1250,3847863,71,34315,70,487772,109,5049359,714,732065,1038,1172265,1821,16135902,124,2707939,99,2588476,347,5247247,36,-973126,587,35951353,292,5958963.39,35,1581450,5,930245,35,474745,225,26442992,190,11368753.6,323,58051848,361,25164129,245,4177475,200,1993891,189,907783.1,482,12514935,362,6664137,236,1099999,486,6292159,197,2773851,295,-4315211,492,-1541360,85,475321,33,723533,119,3601472,178,668783,8,200177,285,38598148,293,38798325,282,21188198,9,56949,292,17151284,301,17208233,179,5925744.46,57,291711.55,187,97893.35,834,258640.63,2083,1715,1189340,211,71749.8,720,337541.44
2425,WA,6160,5695,5658,400177026,4664,99863881.22,3920,7273659.59,122,143246.36,3915,7413198.66,4326,104911053.92,320,1442354.79,4392,296440236,4239,83711207.23,781,3016468,74,1456427,99,3224519,414,2667112,223,2407360,43,604391,73,2698765,3444,5136879,442,273828,1104,13896360,1101,5817789,5669,419332268,1279,2762929,527,924416,2062,575502,270,785984,2761,3870270,3365,8919101,167,68677,104,374025,125,775013,1765,1164977,2412,1211847,4323,17924816,292,6314952,163,3596978,670,8836292,30,-404174,848,37048636,389,3859266.57,123,3310946,5,35140,115,1768721,332,9716663,259,2898816.16,452,23260571,549,21385674,474,4879267,333,1564028,307,591248.02,1036,23739289,789,11880425,524,1993636,1049,12492262,441,4562972,614,-7190006,1055,-2627034,150,1113447,57,580943,149,4125135,335,1176236,29,904600,692,60088556,720,60993156,670,38068429,33,586800,713,20976400,743,21563200,439,6140223.34,78,278860.28,454,209376.7,2333,742257.37,4122,3440,2119008,483,121620.5,1240,473239.14
2426,WA,6161,143,143,7679967,130,1500282.63,95,125664.32,2,4102.35,95,129766.67,124,1599315.93,4,16756.94,133,7377135,133,1751425,11,50156,0,0,1,1002,6,43176,3,23093,0,0,0,0,53,30945,2,39,10,8357,10,3578,143,7959544,33,64411,14,17122,84,27211,3,4672,93,99577,110,212993,2,2908,1,4,1,1210,43,17052,73,15756,115,277743,2,53606,4,62135,12,130005,0,0,6,188773,4,18819.9,2,3853,0,0,0,0,2,6539,2,475.72,3,7553,6,25937,3,440,3,361,2,49.36,19,238718,18,119781,9,32505,19,153886,6,28959,13,-96413,19,-67454,1,660,0,0,0,0,7,24630,0,0,8,690041,8,690041,8,410105,0,0,8,281363,8,281363,5,64741.65,0,0,5,2750.31,79,24160.32,64,57,22717,10,3638.11,12,1949.98
2427,WA,6162,7119,7074,491450416,5753,120098196.36,4986,9014419.4,169,226779.14,4980,9226182.6,5349,126239595.51,299,1384908.76,5420,367553318,5254,102448251.44,918,4516858,106,1403016,140,3871188,481,3183043,319,3477927,55,574913,88,3195172,4162,6008901,522,401587,1400,12289871,1399,5068739,7076,511231072,1634,3310335,650,862482,2618,688180,304,759202,3482,4749127,4251,10369326,161,55851,152,324823,140,375223,2300,1349590,3089,1437793,5448,19494610,381,7949174,218,4250291,859,11335049,49,6409162,1111,43089608,473,3218795.49,115,2611820,7,135537,146,1430629,385,9977004,307,3023633.51,512,23789982,652,18512085,503,5533169,355,1459041,346,929997.52,1371,29043458,1040,14171033,660,1939557,1378,14273893,612,6460398,780,-7801423,1394,-1341025,166,731984,71,596231,155,3768636,464,1650529,29,793344,903,70533001,931,71326345,869,44373366,34,174131,936,25772780,968,25946911,561,6789604.56,93,311055.57,653,334741.92,2855,911079.94,5299,4470,2789002,552,148061.67,1543,572998.28
2428,WA,6163,30878,30659,1840180198,25302,403511600.58,21791,33114534.82,443,559706.3,21771,33624854.07,23460,424506046.6,1255,5109384.47,24837,1539458111,24210,402913321.25,4503,13869623,567,6727075,656,10934939,2239,15035057,1510,16928157,201,2435730,332,9802752,16959,17720819,1944,962217,5336,29077988,5321,12105396,30688,1911074836,7921,16105347,2446,3325326,14930,3945007,1194,2330443,16071,18524782,20122,44230905,797,334092,559,752725,463,1144792,9572,3974669,13375,4705603,23858,68910352,1310,28665054,831,14303510,3297,32716030,137,3839481,3549,113811373,1395,9606279.22,514,9809482,26,511364,444,4291548,1133,19781921,859,5690530.87,1575,47041375,2266,59979066,1479,18338064,1040,3117007,985,2933456.3,4734,83482154,3939,50218808,2537,8404552,4789,45596959,1599,12612487,3219,-33352640,4823,-20740153,501,2814223,198,2016277,369,8414687,1616,5107497,123,6695330,2693,192976571,2808,199681574,2705,130586700,143,2534075,2792,61978950,2924,64513025,1670,13306941.32,368,941974.02,2116,911879.92,14138,4390471.06,22601,19332,11417523,2333,632030.74,5331,1497390.93
2429,WA,6164,36251,35900,2244317900,30461,491921155.62,26929,41168732.16,480,593363.18,26913,41702727.68,28780,520657542.71,1386,5621908.34,31056,2028558620,30332,530505891.36,5539,17935955,769,8669569,985,15385069,2244,13282494,1107,12042718,184,2173641,257,7335695,18090,12423429,1403,586861,4491,20709930,4476,8539878,35946,2326208967,10809,22903436,3061,4188349,20348,5374476,1661,3406045,20619,22282376,25795,58154682,1171,634465,471,632685,353,986782,10922,3546506,15816,5064065,28948,79708197,1664,35600400,1080,15938899,3344,23628011,65,2179894,3285,93857429,1311,7196468.53,542,12555732,24,263843,448,3847007,970,13079026,758,3941968.51,1321,36741417,2020,47314584,1167,13616748,863,3082304,855,2709153.82,5345,88161326,4975,65847138,3488,12415950,5451,49156012,1002,7366462,4491,-46624236,5496,-39257774,423,2383179,181,1695105,317,5219223,2339,5353349,133,5537402,2665,156624432,2794,162161834,2688,101212809,146,1517483,2754,56739594,2893,58257077,1666,11960669.61,250,606311.44,2147,905945.36,16603,5086238.52,27027,23290,12611874,2798,732505.77,6358,1550388.32
