,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
128,4271,385,1070,44044568,41163,225,482386,1070,8522975,7965,19,450,1159831,1070,8828129,1070,6924409,150,-392057,130,1734203,1070,47223493,900,3143597,865,1431444,10,-11707,170,3380726,820,31942680,895,587042,60,37418,680,1530330,139395,353,65,275664,30,74003
129,4272,720,1735,87287592,50339,540,2701390,1735,19704396,11364,23,840,3115780,1730,20473037,1730,14768717,290,-222372,325,8884693,1730,95387075,1435,8082378,1415,4739555,20,124793,190,4343395,1190,51028674,1445,1176250,95,59749,970,2142230,253145,617,75,289710,30,73310
130,4275,385,1285,57856678,44955,280,739933,1285,12476821,9694,22,445,1151700,1285,12588062,1285,10503710,190,-704108,135,2104200,1285,62175852,1105,4281729,1040,1683133,20,-239046,145,3831609,1030,44628609,1060,758488,85,54318,900,2022666,111050,395,70,260785,25,56965
131,4280,1465,6140,264210568,43045,1025,1419042,6140,54004727,8798,20,1630,2281749,6135,53596394,6135,47619584,660,-2921529,455,5594892,6135,279518605,5445,15153748,4500,5116889,35,-218642,550,15693863,5280,225113447,5380,3675427,515,324611,4790,10321967,389585,2041,265,910032,115,292226
132,4285,1940,6735,287804621,42739,1355,3109199,6735,59290703,8805,21,2430,4688095,6730,59334025,6730,50365839,740,-1835268,720,13350506,6730,305436446,5975,17446777,5205,7531755,95,-190115,520,12112875,5740,229770252,5800,3973975,440,272649,5095,9305321,620795,2216,400,1385351,120,301641
133,4287,120,265,9961816,37878,65,68133,265,1761062,6696,18,100,215687,265,1917868,260,1460593,25,22521,30,244782,265,10475325,210,512812,225,370582,15,48082,20,342774,205,7092473,220,131285,10,6728,175,288879,23905,60,10,77396,5,2626
134,4300,3720,16435,699962569,42595,2300,2860132,16435,142239884,8656,20,4440,4426582,16430,140825128,16435,134282854,1600,-8700976,1025,12623941,16435,738034375,15140,37686767,11960,11977074,65,-877266,1000,21930840,15325,648666878,14155,9533536,1230,728324,13915,26445620,3065890,6638,1085,3533970,510,1371736
135,4301,1795,7935,325167312,40984,975,1085032,7935,64172194,8088,20,1845,1576099,7935,63673890,7935,61110107,615,-2901172,460,3819248,7935,340579162,7375,15357557,5700,5448328,15,-1535,420,8623016,7435,303718571,6820,4434823,555,322123,6835,11398378,1490475,3281,540,1756775,220,571826
136,4303,455,1385,50650318,36544,120,99140,1385,8962676,6467,18,280,342801,1385,9201571,1385,8636510,90,-347200,55,359563,1385,53102516,1290,2447298,1080,1027899,5,-23702,50,977304,1300,47655684,1095,636572,60,37013,1200,1682126,461200,587,160,604655,20,54203
137,4304,1595,5850,242256575,41397,1045,1674007,5850,47874924,8181,20,1990,2444459,5850,48155674,5850,44664187,500,-1834565,485,5130594,5850,253102374,5420,10797416,4405,5590554,25,-139749,300,5703361,5345,215004184,5090,3310966,330,192042,4845,7292718,582690,2536,470,1650151,160,408877
138,4305,5970,23190,1001569028,43190,4445,6087586,23190,204779820,8831,20,8115,11101557,23185,204372889,23190,188025921,2425,-10064098,2065,22172251,23190,1054151142,21560,52184358,17325,20539638,140,-1548381,1190,26499553,21285,892314476,19765,13423522,1375,799183,19505,34332130,2382870,10055,1570,5195472,655,1667865
139,4306,3295,13185,623822861,47306,3345,6847354,13185,135419675,10269,22,5170,7661413,13175,134920539,13185,119693437,1950,-8512097,1620,21638171,13185,659650260,11985,35221604,9905,15841509,215,-2984384,905,19913982,11715,531404472,11445,8569849,875,534097,10480,20804402,1357140,5387,615,2164106,295,776320
140,4307,235,570,23332013,40933,150,295843,570,4591266,8055,20,230,472723,570,4615862,570,3647295,75,-73033,65,1043008,570,25226134,505,1829378,455,665817,30,-56668,40,900466,470,18775633,490,319728,10,7140,410,699914,34485,200,20,82296,10,24185
141,4309,425,1045,41202628,39391,240,487382,1045,7809385,7466,19,445,965237,1045,8079277,1045,6371088,135,-113918,125,1743695,1045,43660624,855,2240153,860,1364664,45,-165057,80,1593604,830,31157234,880,553508,45,27449,715,1190966,72500,332,50,189444,15,36219
142,4310,800,1915,78470126,40955,495,702618,1915,15520167,8100,20,875,2149664,1915,15734543,1915,12722693,230,-213716,260,3020291,1915,83008263,1660,4493744,1565,2075117,90,-411970,165,4604295,1605,61709643,1610,1060237,90,60028,1390,2261774,153320,676,120,452702,25,69033
143,4311,1105,3060,124505357,40715,490,821202,3060,24462964,8000,20,930,1671123,3055,24616479,3060,21579495,315,-869031,245,3490841,3060,131862426,2705,7139828,2365,2815317,70,-526026,215,4861774,2645,105315300,2570,1669717,190,122721,2395,4945625,154260,1087,215,824306,30,69765
144,4312,375,790,33709272,42778,150,958736,790,7086849,8993,21,310,984474,790,7201103,790,5381324,85,-44989,70,2216229,790,36449162,675,2693512,620,1565153,30,-3341108,70,1048434,645,25480514,670,457164,40,25726,575,1302393,60665,237,70,308596,10,24750
145,4313,360,635,23568184,37115,150,233245,635,4303831,6778,18,235,463029,635,4428860,635,3621034,90,-36522,75,1218180,635,25264750,530,1666675,540,698375,30,-132017,60,1266024,510,18652606,515,311307,25,14239,435,927582,26210,195,45,215146,15,29036
146,4340,645,1875,78520932,41833,390,486745,1875,15570966,8296,20,685,1182043,1875,15778980,1875,14216358,210,-447315,175,2973900,1875,83022114,1705,4431881,1475,1866755,75,-837723,115,2380824,1660,67390894,1600,1064289,100,62854,1510,2808034,152795,716,135,578996,30,67387
147,4341,1395,3930,156824308,39915,705,915740,3930,30076515,7655,19,1380,1969512,3930,30510463,3930,26933889,420,-1170481,330,3579853,3930,166401548,3555,9373514,3110,3653739,60,-189697,255,6061188,3470,134378164,3305,2104741,220,136545,3180,6353976,236335,1442,290,1032260,60,133598
148,4342,330,910,35363020,38775,175,139710,910,6680116,7325,19,340,655651,910,6798461,910,5578958,95,-308340,75,786829,910,37956440,805,2569050,745,781655,15,366325,50,1072256,785,28893763,765,480045,45,31975,715,1434293,43205,338,60,207532,15,31731
149,4343,1400,3940,157322886,39940,970,1704845,3940,30379376,7712,19,1690,3426417,3940,30897967,3940,25236197,430,-290329,445,5121281,3940,167976077,3530,10296907,3190,4498554,70,173260,215,5347705,3430,125340342,3290,2114431,135,82798,3115,5412728,207750,1624,275,1041918,75,164591
150,4344,290,815,33980810,41643,175,532625,815,6897574,8453,20,345,425354,815,6967771,815,5713111,100,-215007,75,1000234,815,35894280,730,1786803,645,1106218,25,-194566,60,1065029,710,27486191,680,462261,30,17765,635,1146921,45395,291,50,179449,15,44951
151,4346,95,390,17282607,44088,80,105046,390,3494807,8915,20,160,322066,390,3549255,390,3028604,50,-67898,45,512327,390,18505739,355,1217363,285,417070,10,-69575,30,908796,330,13835038,345,238473,20,12244,300,538395,29900,171,20,51513,10,24487
152,4347,200,475,18608043,39257,105,91521,475,3495967,7375,19,185,250151,475,3633465,475,3060301,50,-19839,55,707747,475,19665558,425,1053036,400,500090,15,-168576,30,809194,410,14432870,400,250811,20,12938,375,598797,29745,186,40,162722,5,10239
153,4350,12905,44145,2013636131,45616,12375,37955241,44145,434453926,9842,22,19550,37005328,44115,436817730,44135,354267716,5575,-14939907,6385,95364909,44130,2145152463,40195,130249704,35555,69831918,365,-6124571,2540,63278799,38550,1568086236,37870,27365337,1565,920448,34485,57253717,5174825,18139,3160,11537064,1485,3885302
154,4352,3220,10150,458212757,45144,3005,5682798,10150,96141538,9472,21,4640,7278295,10145,96849333,10150,80857929,1355,-4996459,1555,18494453,10145,490641415,9100,31578839,8035,13201913,190,-1710066,725,17705106,8705,365572198,8760,6264410,365,232225,7790,13816156,977125,3711,480,2006232,245,622540
155,4353,105,115,4199781,36840,35,48398,115,784252,6879,19,50,43460,115,781114,115,677788,15,3884,15,243096,115,4370359,100,170578,95,105339,15,-164356,10,147506,95,3619292,90,54273,5,4791,85,113908,9265,25,10,73090,5,4924
156,4354,155,400,15999542,40099,80,58619,400,3079902,7719,19,150,149167,400,3123852,400,2695214,40,-83023,35,296837,400,16874094,350,842724,310,335433,20,-252060,25,547174,350,13732399,325,211931,10,7911,315,580244,24280,135,35,113089,5,11880
157,4355,425,825,30309195,36650,205,225003,825,5376467,6501,18,405,794868,825,5642139,825,4523391,80,-198099,90,971143,825,32197462,715,1861977,700,911062,40,-359826,70,933268,660,23715454,650,388803,20,13915,575,887369,61020,244,60,295018,15,26899
158,4356,760,1865,74620179,40054,530,1308254,1865,14511113,7789,19,710,1495471,1860,14979916,1860,11540230,245,-661634,260,1740129,1860,80054120,1625,5136436,1565,2828194,60,101311,100,1458664,1545,58633766,1520,980004,45,27061,1410,3079628,101655,565,110,511530,20,63003
159,4357,380,970,44101166,45512,280,938111,970,9639037,9947,22,510,854166,970,9628644,970,7682537,130,-180507,145,3385205,970,47550238,860,3311908,800,1581524,30,-259617,60,1156951,805,33001523,825,610258,40,26917,730,1466690,71720,285,70,385056,10,22093
160,4358,285,755,30755558,40682,230,326431,755,6018503,7961,20,300,828034,755,6080131,755,5149740,60,-176444,90,1067131,755,33302735,655,2540760,610,854740,30,235466,50,842047,635,25053566,650,426583,25,15134,555,1190439,58940,230,45,194510,5,20629
161,4359,185,405,19196649,47634,110,775483,405,4411549,10947,23,165,320456,405,4444153,405,3311157,40,-90221,50,716342,405,20465312,360,1238260,315,1090553,15,332030,40,884908,340,13817395,345,265281,20,11489,305,581682,63680,130,25,120085,15,33125
162,4360,130,240,9463107,39104,75,90756,240,1795222,7418,19,100,338081,240,1920322,240,1495982,35,25731,40,254675,240,10111781,195,636752,215,345814,15,199445,15,462137,185,6817177,195,119401,10,6985,170,316556,9840,48,15,64647,5,5260
163,4361,480,815,31126159,38098,245,221855,815,5695615,6971,18,385,934186,815,5998874,815,4640654,85,101914,100,830289,815,33423658,700,2223786,715,965736,50,-215133,55,1014999,650,23404352,665,409159,15,7996,565,954892,35080,207,70,399631,10,25178
164,4362,380,820,30843353,37522,220,558465,820,5593020,6804,18,320,740498,820,5958581,820,4196800,85,98614,95,1352733,820,32806325,685,1933878,735,1361712,55,-584998,55,1041439,640,22301146,665,400646,25,16053,570,897272,41780,266,80,351473,10,20661
165,4363,80,240,9366324,38864,70,131758,240,1834825,7613,20,95,348871,240,1823505,240,1531099,30,-78973,25,443937,240,10206997,215,840667,205,254869,15,-39220,20,253753,200,7689550,200,125426,5,3284,190,352153,11630,60,20,75970,5,17801
166,4364,60,115,6422081,54890,55,279224,115,1661449,14200,26,60,255567,115,1651915,115,855298,15,-31369,25,1024664,115,7616051,100,1167214,100,365254,5,57039,5,31144,90,3015522,100,89774,5,1270,75,175622,318425,25,5,16096,5,1958
167,4365,75,105,3837906,35868,30,31751,105,682340,6377,18,35,73220,105,699539,105,600697,5,-33382,10,100689,105,4161087,95,323181,95,103923,5,-48122,10,285739,85,2981939,85,48894,10,5569,80,171421,6850,30,15,49449,5,3969
168,4370,2570,6660,261290143,39221,1715,3524985,6660,49782198,7473,19,2740,5519115,6660,51216802,6660,41139330,770,-463343,820,8586427,6660,278291098,5985,16627677,5575,8715927,200,-1638846,395,6667949,5710,210716348,5555,3474443,180,109530,5210,9353157,609685,2359,620,2451562,115,287436
169,4371,135,255,9314454,36671,80,96980,255,1671628,6581,18,105,130229,255,1750146,255,1439442,35,-40770,30,368353,255,9979534,220,648315,215,307484,15,-245278,25,236683,210,8162579,205,121073,5,3576,195,406185,15725,77,25,95991,5,9286
170,4372,20,60,2349342,37893,25,29373,60,443042,7146,19,25,105645,60,448253,60,369898,5,1065,10,143846,60,2588281,50,238939,55,68496,5,25074,5,20319,50,1796461,50,31894,5,1252,45,65354,200,11,5,9254,0,0
171,4373,190,450,16333025,36135,120,153768,450,2856872,6321,17,185,273856,450,2967703,450,2359398,60,-82877,40,503423,450,17681269,400,1328797,380,504608,25,-263964,35,922411,380,13106923,380,217344,20,13224,350,637557,20815,171,30,133773,5,13208
172,4374,75,105,4635627,44149,35,163230,105,961196,9154,21,60,549353,105,1026651,105,448901,15,36110,25,583650,105,5112229,90,472655,95,292542,20,-115382,15,186993,80,2658703,90,61563,5,1642,70,137211,4745,37,5,34159,5,6395
173,4375,45,90,3437789,38627,25,35621,90,645741,7256,19,35,127556,90,675348,90,469473,5,26727,5,78134,90,3761667,60,304185,80,114177,5,109533,5,27575,70,2167755,70,45229,5,2530,50,76175,1990,14,15,63530,5,3168
174,4376,30,130,4718759,36865,30,107450,130,857145,6696,18,40,114283,130,887905,130,497853,10,28691,15,104069,130,5407579,110,686497,115,204840,5,15635,10,204873,100,3234759,95,60192,5,2485,90,230766,3290,31,10,41473,5,11878
175,4377,115,230,7687825,33425,65,92487,230,1235504,5372,16,95,239804,230,1364874,230,937638,30,69293,35,310969,230,8228498,190,521223,210,321095,10,-38204,15,226249,175,5236237,170,92708,5,3435,145,231315,16035,68,25,108351,5,7702
176,4378,25,55,1907144,35317,10,4868,55,330175,6114,17,10,24367,55,348582,55,251329,5,16904,5,141514,55,1989799,40,82655,50,48269,5,-330,5,160960,40,1125086,40,24492,0,0,30,41358,975,10,10,28560,0,0
177,4380,1215,3020,110662379,36667,805,1323395,3020,19916985,6599,18,1330,2944047,3015,20736757,3020,16163636,350,95130,415,4492460,3015,119126034,2620,8366261,2650,3700866,70,-264335,200,3403549,2505,83887738,2440,1459967,55,34645,2230,3816878,229505,971,290,1159578,40,112455
178,4381,90,180,6275963,34674,40,12241,180,1027090,5675,16,65,96359,180,1110926,180,879202,15,-85386,25,256508,180,6627501,150,351538,160,184548,5,-264963,15,185170,145,4585606,155,85249,5,2540,125,204659,23385,45,30,128476,5,3249
179,4382,95,205,7664858,37208,80,245444,205,1421615,6901,19,105,247552,205,1498526,205,991336,30,23838,40,453162,205,8659419,170,986316,195,438998,10,92233,15,102852,155,4954580,165,101490,15,7965,130,211803,14585,54,30,119962,5,5814
180,4383,85,215,7520933,34819,35,29550,215,1268335,5872,17,65,146936,215,1325263,215,1144844,20,-17277,25,126006,215,7957513,195,434298,175,192197,10,4134,10,11249,195,6580705,185,101063,5,2617,180,307624,12015,66,25,111061,5,3550
181,4385,215,385,15667309,40484,75,148986,385,3089671,7984,20,175,388778,385,3116234,385,2559007,40,-29564,25,242712,385,16507743,335,835539,305,393507,30,-95620,40,760618,320,12821934,325,205138,15,8455,295,439720,14640,87,25,121918,10,27082
182,4387,220,495,18692807,37687,115,176389,495,3434294,6924,18,245,444755,495,3468100,495,2918092,40,-21730,45,174369,495,19927079,425,1198190,405,485308,30,-276884,35,1172555,425,15555996,425,255090,15,10193,370,467194,23835,114,35,98943,10,29878
183,4388,85,135,4646229,34934,40,42983,135,752077,5655,16,55,126658,135,831740,135,646169,10,-13687,20,363746,135,5429305,120,741113,120,182230,10,17848,10,99847,105,3477358,100,57882,5,501,95,249631,4830,38,10,51389,5,10485
184,4390,910,3305,150942115,45698,1050,6194350,3305,33091624,10019,22,1365,3388853,3305,33385943,3305,22084459,480,-443623,475,6766926,3305,164253199,2860,12338010,2680,8738871,60,-1126006,230,5156945,2775,104147050,2855,2104807,95,60382,2480,4961867,169620,1189,200,849019,90,249765
185,4400,195,730,30338564,41617,135,108531,730,6077921,8337,20,255,161212,730,6064550,730,5665418,85,-344767,60,811055,730,31684954,675,1344565,555,540440,5,72453,30,644077,670,27029881,615,409796,40,24248,620,1016268,31735,257,45,131011,10,33821
186,4401,775,2250,91192494,40512,475,1122359,2250,17910563,7957,20,825,1395807,2250,18056147,2250,15510444,220,-420117,245,2570551,2250,96537643,2035,5259171,1760,2546064,65,-879133,85,1984978,1965,77005114,1835,1178020,80,47950,1785,2722866,90520,789,160,605872,30,62227
187,4402,60,75,3099720,41330,20,120053,75,651743,8690,21,30,41906,75,650527,75,440054,5,484,5,12428,75,3331728,70,227726,65,170279,5,-26029,5,63996,65,2535965,60,41706,5,4908,65,159776,1900,23,5,26144,5,9113
188,4403,145,285,10978074,38655,120,168071,285,2050614,7220,19,150,243078,285,2122098,285,1330177,30,2739,50,433323,285,11544887,225,522360,255,399384,15,99578,20,207633,210,7206921,240,148119,5,4075,175,260595,11890,65,20,107960,5,4745
189,4404,100,210,8471937,40151,95,81017,210,1660619,7870,20,95,156801,210,1715655,210,1256469,30,-32946,40,225205,210,9406004,180,724602,180,257269,15,21044,10,215655,145,5376429,175,115888,5,3844,135,277415,13185,57,15,129180,5,12238
190,4405,1885,5455,237506208,43555,1590,4004783,5455,49260550,9034,21,2320,4342614,5455,49657257,5450,39599929,655,-1358568,885,10380441,5455,253019698,4980,15192214,4420,7913712,115,-1032172,295,5335782,4760,188496514,4650,3243640,235,149917,4385,7569628,474230,1852,420,1754392,140,387816
191,4406,240,310,13267814,42525,135,607824,310,2751328,8818,21,145,448592,310,2851283,310,1582731,40,-30471,65,3457276,310,14868764,270,1436508,285,893487,20,-188894,20,146360,240,8347828,240,171711,15,8177,210,446594,29360,74,30,113656,5,10138
192,4407,110,240,9190211,38293,85,202711,240,1717346,7156,19,105,188179,240,1749303,240,1327646,30,-42452,45,328120,240,9915239,200,662262,205,365095,10,-29503,5,12496,200,7265275,195,122216,5,4778,180,353309,16465,51,15,44409,5,8427
193,4408,155,270,9969859,37201,85,287496,270,1826313,6815,18,125,293265,270,1923107,270,1324400,35,-48854,45,479908,270,10679106,225,695195,235,532434,30,142182,15,271082,205,7172379,225,132998,10,6378,180,324416,18780,67,30,191110,5,12782
194,4410,290,440,17262348,39412,180,274519,440,3224852,7363,19,240,563941,440,3352833,440,2237064,40,-13448,80,813189,440,19328748,360,1946120,390,653435,20,152655,30,742636,310,10745117,370,234158,15,12101,280,482896,14080,114,40,241518,5,2016
195,4411,90,140,5707309,40766,60,183597,140,1075175,7680,19,60,158315,140,1163368,140,693284,10,-29020,25,607536,140,6462894,110,755585,110,340896,15,-177846,10,34793,105,3841363,100,63753,5,2719,85,151628,3005,23,15,80036,5,8163
196,4412,60,90,3302629,37108,35,51151,90,601103,6754,18,50,112847,90,625288,90,486225,5,-74757,15,133868,90,3543955,70,240562,80,123041,5,-78031,5,8555,65,2443099,75,44134,5,2126,50,124352,4735,17,5,72116,5,2322
