,"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Notes,,,,,,,,
1,State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total
2255,WA,6027,4614,5852,9695,5963,1061,na,27185
2256,WA,6028,2525,2939,4951,3601,867,na,14883
2257,WA,6029,352,363,568,506,244,na,2033
2258,WA,6030,3845,5127,8385,4720,783,na,22860
2259,WA,6031,1415,2017,3976,2096,249,na,9753
2260,WA,6032,34,35,78,na,na,36,183
2261,WA,6033,69,77,98,67,11,na,322
2262,WA,6034,125,173,462,248,20,na,1028
2263,WA,6035,835,1025,1708,1115,136,na,4819
2264,WA,6036,1352,1884,3274,1902,266,na,8678
2265,WA,6037,311,386,486,348,58,na,1589
2266,WA,6038,512,740,1584,910,93,na,3839
2267,WA,6041,209,213,208,150,26,na,806
2268,WA,6042,16,13,16,na,na,8,53
2269,WA,6043,40,26,19,30,9,na,124
2270,WA,6044,190,173,221,128,28,na,740
2271,WA,6050,1717,1970,3051,2481,1039,na,10258
2272,WA,6051,1282,1647,3104,2031,328,na,8392
2273,WA,6052,1128,1387,2398,1869,353,na,7135
2274,WA,6053,1476,1741,3099,2280,341,na,8937
2275,WA,6054,1873,2487,4536,2496,260,na,11652
2276,WA,6055,1742,2462,5163,3049,371,na,12787
2277,WA,6056,3587,4879,9078,4568,505,na,22617
2278,WA,6057,1483,2026,4089,2317,266,na,10181
2279,WA,6058,1136,1528,3166,1522,138,na,7490
2280,WA,6059,2763,3133,4930,3064,581,na,14471
2281,WA,6060,2340,3002,5746,3499,491,na,15078
2282,WA,6061,3627,5057,8908,2862,186,na,20640
2283,WA,6062,3702,4772,7636,3673,342,na,20125
2284,WA,6063,1421,1879,3400,1289,99,na,8088
2285,WA,6064,2906,4161,6744,2289,145,na,16245
2286,WA,6065,6132,7718,14053,8699,1079,na,37681
2287,WA,6066,1776,2626,4452,1923,183,na,10960
2288,WA,6067,16,12,20,na,na,20,68
2289,WA,6069,3306,4234,8756,5382,671,na,22349
2290,WA,6070,444,436,622,546,153,na,2201
2291,WA,6071,420,497,649,525,114,na,2205
2292,WA,6072,115,122,183,127,25,na,572
2293,WA,6073,411,433,618,442,88,na,1992
2294,WA,6074,124,143,205,145,25,na,642
2295,WA,6076,2670,2778,4326,3154,704,na,13632
2296,WA,6077,132,156,209,122,50,na,669
2297,WA,6078,104,107,123,103,22,na,459
2298,WA,6081,546,628,915,737,127,na,2953
2299,WA,6082,366,425,621,445,76,na,1933
2300,WA,6083,438,479,734,515,127,na,2293
2301,WA,6084,880,991,1645,1105,166,na,4787
2302,WA,6090,16,42,53,44,14,na,169
2303,WA,6100,1892,2042,3469,2292,447,na,10142
2304,WA,6101,1843,2227,3582,2474,372,na,10498
2305,WA,6102,1629,1854,2370,1079,99,na,7031
2306,WA,6103,1064,1315,2364,1374,188,na,6305
2307,WA,6104,1416,1859,3339,1861,271,na,8746
2308,WA,6105,1600,1893,3465,1624,159,na,8741
2309,WA,6106,21,19,54,43,11,na,148
2310,WA,6107,5063,6001,9906,4266,386,na,25622
2311,WA,6108,2581,3084,5383,2429,234,na,13711
2312,WA,6109,1094,1589,2625,902,87,na,6297
2313,WA,6110,3684,4912,9119,4157,455,na,22327
2314,WA,6111,2448,2927,5193,2585,330,na,13483
2315,WA,6112,4997,6590,12808,6781,684,na,31860
2316,WA,6121,362,357,634,414,94,na,1861
2317,WA,6122,1442,1933,4080,2517,286,na,10258
2318,WA,6123,185,218,380,215,26,na,1024
2319,WA,6124,129,164,209,168,40,na,710
2320,WA,6125,335,365,562,457,82,na,1801
2321,WA,6126,47,35,45,na,na,26,153
2322,WA,6147,1746,2084,3438,1419,117,na,8804
2323,WA,6148,2448,2234,3538,2271,539,na,11030
2324,WA,6149,2576,2503,3783,2831,620,na,12313
2325,WA,6150,2102,1819,2483,1766,462,na,8632
2326,WA,6151,1947,1999,3351,2841,1143,na,11281
2327,WA,6152,3030,3183,4930,3664,1049,na,15856
2328,WA,6153,2796,2663,3741,3272,1587,na,14059
2329,WA,6154,1270,1309,1832,1488,422,na,6321
2330,WA,6155,6571,6491,10477,7098,1104,na,31741
2331,WA,6156,1777,1957,3148,2641,828,na,10351
2332,WA,6157,1459,1654,2761,2247,557,na,8678
2333,WA,6158,876,925,1336,1247,552,na,4936
2334,WA,6159,396,423,650,613,286,na,2368
2335,WA,6160,1129,1175,1671,1298,369,na,5642
2336,WA,6161,24,30,47,na,na,25,126
2337,WA,6162,1321,1514,2174,1762,429,na,7200
2338,WA,6163,5352,6546,10943,6665,1088,na,30594
2339,WA,6164,5521,6737,13028,8749,1308,na,35343
2340,WA,6165,19,24,49,na,na,36,128
2341,WA,6166,986,1285,2084,1572,326,na,6253
2342,WA,6167,2142,2832,5365,2780,312,na,13431
2343,WA,6168,2156,2779,4677,2488,421,na,12521
2344,WA,6169,3366,4358,6620,4431,690,na,19465
2345,WA,6170,1037,1388,3036,1608,193,na,7262
2346,WA,6171,2712,3228,6319,4951,769,na,17979
2347,WA,6172,1289,1614,2590,1955,319,na,7767
2348,WA,6173,1122,1321,2084,2049,478,na,7054
2349,WA,6174,368,436,730,561,83,na,2178
2350,WA,6175,353,433,602,613,126,na,2127
2351,WA,6176,134,178,299,185,24,na,820
2352,WA,6180,452,547,903,670,99,na,2671
2353,WA,6181,44,69,95,74,12,na,294
