,"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Notes,,,,,,,,
1,State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total
2354,WA,6207,94,113,154,138,18,na,517
2355,WA,6208,1255,1357,1785,1454,209,na,6060
2356,WA,6209,210,194,266,186,32,na,888
2357,WA,6210,7806,8830,11788,8244,1587,na,38255
2358,WA,6211,754,865,954,855,169,na,3597
2359,WA,6213,90,82,101,110,10,na,393
2360,WA,6214,103,86,113,108,11,na,421
2361,WA,6215,452,487,580,588,69,na,2176
2362,WA,6218,50,58,64,39,6,na,217
2363,WA,6220,551,583,1016,556,68,na,2774
2364,WA,6221,24,27,47,na,na,25,123
2365,WA,6223,29,26,31,na,na,41,127
2366,WA,6224,125,138,233,133,25,na,654
2367,WA,6225,967,958,1215,1368,153,na,4661
2368,WA,6226,105,96,125,140,24,na,490
2369,WA,6227,97,85,141,127,15,na,465
2370,WA,6228,27,27,47,na,na,25,126
2371,WA,6229,25,21,38,na,na,30,114
2372,WA,6230,4368,5460,8695,5361,829,na,24713
2373,WA,6232,1014,1318,2124,1535,171,na,6162
2374,WA,6233,1947,2328,3419,2834,414,na,10942
2375,WA,6236,286,319,385,322,41,na,1353
2376,WA,6237,287,327,506,364,49,na,1533
2377,WA,6239,649,620,829,497,60,na,2655
2378,WA,6240,29,19,20,na,na,15,83
2379,WA,6244,252,218,317,173,25,na,985
2380,WA,6251,57,48,65,na,na,38,208
2381,WA,6252,22,15,15,na,na,11,63
2382,WA,6253,128,109,117,51,7,na,412
2383,WA,6254,70,56,68,62,5,na,261
2384,WA,6255,579,578,689,448,48,na,2342
2385,WA,6256,20,15,16,na,na,16,67
2386,WA,6258,868,1018,1455,600,48,na,3989
2387,WA,6260,192,238,320,126,34,na,910
2388,WA,6262,126,113,127,56,11,na,433
2389,WA,6271,341,462,625,385,52,na,1865
2390,WA,6275,240,209,258,112,16,na,835
2391,WA,6280,3371,4215,5654,2794,404,na,16438
2392,WA,6281,1074,1236,1628,847,249,na,5034
2393,WA,6282,240,255,275,175,52,na,997
2394,WA,6284,325,344,482,257,37,na,1445
2395,WA,6285,1486,1680,2218,952,165,na,6501
2396,WA,6286,105,119,133,47,8,na,412
2397,WA,6288,97,107,123,40,6,na,373
2398,WA,6290,287,286,296,103,9,na,981
2399,WA,6302,481,466,634,374,42,na,1997
2400,WA,6304,227,226,300,147,29,na,929
2401,WA,6306,129,141,191,99,17,na,577
2402,WA,6308,213,182,292,174,20,na,881
2403,WA,6309,44,37,44,31,6,na,162
2404,WA,6311,68,63,112,51,10,na,304
2405,WA,6312,503,575,1006,495,42,na,2621
2406,WA,6313,19,19,36,na,na,24,98
2407,WA,6315,255,309,427,194,6,na,1191
2408,WA,6316,49,40,74,41,5,na,209
2409,WA,6317,463,535,995,334,18,na,2345
2410,WA,6318,68,73,91,43,8,na,283
2411,WA,6320,89,64,117,72,6,na,348
2412,WA,6321,87,92,88,28,5,na,300
2413,WA,6322,38,37,43,na,na,26,144
2414,WA,6323,121,148,191,na,na,81,541
2415,WA,6324,514,523,722,261,35,na,2055
2416,WA,6326,94,84,119,na,na,45,342
2417,WA,6327,45,31,38,na,na,20,134
2418,WA,6328,65,78,82,52,8,na,285
2419,WA,6330,4128,5263,7578,3324,352,na,20645
2420,WA,6333,907,1041,1048,474,68,na,3538
2421,WA,6335,85,102,188,85,20,na,480
2422,WA,6336,57,36,69,37,5,na,204
2423,WA,6337,68,88,133,89,17,na,395
2424,WA,6338,105,102,142,103,19,na,471
2425,WA,6341,24,29,59,47,11,na,170
2426,WA,6343,32,35,44,37,8,na,156
2427,WA,6346,95,98,145,119,23,na,480
2428,WA,6348,103,114,112,131,10,na,470
2429,WA,6350,59,69,111,52,6,na,297
2430,WA,6352,32,18,43,na,na,31,124
2431,WA,6353,111,125,179,130,11,na,556
2432,WA,6355,71,72,97,111,36,na,387
2433,WA,6356,20,15,36,24,16,na,111
2434,WA,6357,19,6,20,na,na,18,63
2435,WA,6358,20,23,29,na,na,11,83
2436,WA,6359,69,60,115,70,12,na,326
2437,WA,6361,27,15,21,na,na,13,76
2438,WA,6365,72,75,123,70,15,na,355
2439,WA,6367,39,58,84,na,na,54,235
2440,WA,6369,98,106,168,99,19,na,490
2441,WA,6370,75,80,116,53,7,na,331
2442,WA,6372,16,16,29,na,na,25,86
2443,WA,6375,115,148,248,155,18,na,684
2444,WA,6383,113,110,196,125,30,na,574
2445,WA,6386,12,7,19,na,na,19,57
2446,WA,6390,155,170,256,336,44,na,961
2447,WA,6391,134,153,259,137,10,na,693
2448,WA,6392,73,74,132,54,9,na,342
2449,WA,6393,27,18,22,na,na,5,72
2450,WA,6394,27,28,32,na,na,16,103
2451,WA,6395,315,377,484,195,24,na,1395
2452,WA,6396,54,54,99,na,na,25,232
2453,WA,6398,85,99,90,34,5,na,313
2454,WA,6401,679,848,1388,839,65,na,3819
2455,WA,6403,22,37,36,na,na,22,117
2456,WA,6405,42,40,73,na,na,43,198
2457,WA,6407,97,127,238,103,15,na,580
2458,WA,6409,44,60,76,55,6,na,241
2459,WA,6410,106,147,185,95,7,na,540
2460,WA,6411,17,20,25,na,na,18,80
2461,WA,6415,282,355,617,395,31,na,1680
2462,WA,6418,77,69,146,93,15,na,400
2463,WA,6420,15,19,25,13,7,na,79
2464,WA,6421,22,17,26,na,na,27,92
2465,WA,6423,15,22,34,na,na,31,102
2466,WA,6425,19,19,25,28,7,na,98
2467,WA,6426,72,91,146,136,9,na,454
2468,WA,6429,69,76,142,na,na,112,399
2469,WA,6430,1768,2227,4271,5059,438,na,13763
2470,WA,6431,20,16,13,na,na,14,63
2471,WA,6432,546,717,1296,1288,65,na,3912
2472,WA,6436,9,18,19,na,na,6,52
2473,WA,6437,25,17,64,na,na,114,220
2474,WA,6438,48,63,120,na,na,64,295
2475,WA,6440,47,59,94,na,na,53,253
2476,WA,6442,195,175,318,500,39,na,1227
2477,WA,6443,63,97,130,na,na,92,382
2478,WA,6445,33,31,23,32,17,na,136
2479,WA,6446,14,21,21,31,16,na,103
2480,WA,6447,17,13,20,16,18,na,84
2481,WA,6448,41,55,75,28,7,na,206
2482,WA,6450,1533,1896,2775,1680,224,na,8108
2483,WA,6460,99,89,131,68,14,na,401
2484,WA,6461,89,109,122,78,15,na,413
2485,WA,6466,18,12,15,na,na,17,62
2486,WA,6468,40,37,64,47,21,na,209
2487,WA,6472,31,34,37,38,7,na,147
2488,WA,6475,59,51,88,na,na,50,248
2489,WA,6477,42,24,64,41,5,na,176
2490,WA,6479,101,70,128,83,9,na,391
2491,WA,6485,49,60,90,60,12,na,271
2492,WA,6488,24,25,39,na,na,13,101
2493,WA,6490,34,23,42,na,na,24,123
2494,WA,6501,100,132,197,132,21,na,582
2495,WA,6502,199,171,242,127,23,na,762
2496,WA,6503,361,313,474,193,32,na,1373
2497,WA,6504,19,14,21,na,na,13,67
2498,WA,6505,22,21,27,na,na,13,83
2499,WA,6507,87,75,119,na,na,62,343
2500,WA,6509,15,29,48,na,na,21,113
2501,WA,6510,231,272,436,211,26,na,1176
2502,WA,6511,71,86,96,53,12,na,318
2503,WA,6512,17,9,14,na,na,17,57
2504,WA,6513,23,27,49,25,10,na,134
2505,WA,6514,79,82,76,68,12,na,317
2506,WA,6515,51,44,84,40,11,na,230
2507,WA,6516,222,277,295,247,34,na,1075
2508,WA,6517,46,74,111,46,9,na,286
2509,WA,6518,28,37,39,na,na,25,129
2510,WA,6519,85,74,104,na,na,60,323
2511,WA,6521,65,77,77,27,5,na,251
2512,WA,6522,71,71,106,54,7,na,309
2513,WA,6525,451,466,595,429,82,na,2023
2514,WA,6528,81,74,88,51,10,na,304
2515,WA,6530,3208,4216,6742,4415,455,na,19036
2516,WA,6532,538,637,922,804,80,na,2981
2517,WA,6535,226,225,255,143,20,na,869
2518,WA,6536,218,238,255,129,24,na,864
2519,WA,6537,92,125,184,88,5,na,494
2520,WA,6556,199,264,434,292,38,na,1227
2521,WA,6558,106,114,159,101,15,na,495
2522,WA,6560,119,143,275,142,6,na,685
2523,WA,6562,140,167,222,154,12,na,695
2524,WA,6564,57,60,70,48,5,na,240
2525,WA,6566,422,462,631,358,60,na,1933
2526,WA,6567,13,23,30,na,na,24,90
2527,WA,6568,38,26,52,na,na,30,146
2528,WA,6569,47,44,69,31,12,na,203
2529,WA,6571,14,15,24,na,na,15,68
2530,WA,6575,16,18,49,na,na,26,109
2531,WA,6603,151,150,277,152,10,na,740
2532,WA,6606,32,41,36,na,na,31,140
2533,WA,6608,13,24,24,na,na,14,75
2534,WA,6609,86,113,228,121,14,na,562
2535,WA,6612,28,27,42,na,na,37,134
2536,WA,6616,15,15,12,na,na,14,56
2537,WA,6620,47,49,72,na,na,43,211
2538,WA,6623,74,91,122,74,14,na,375
2539,WA,6630,59,69,107,64,5,na,304
2540,WA,6635,14,25,38,na,na,17,94
2541,WA,6638,53,49,77,na,na,48,227
2542,WA,6640,36,28,36,na,na,15,115
2543,WA,6642,71,114,141,78,9,na,413
2544,WA,6646,22,36,43,na,na,25,126
2545,WA,6701,644,742,1099,586,63,na,3134
2546,WA,6707,268,349,635,417,55,na,1724
2547,WA,6710,68,77,175,243,125,na,688
2548,WA,6713,75,58,146,276,89,na,644
2549,WA,6714,1226,1167,2589,3703,920,na,9605
2550,WA,6716,41,39,53,224,16,na,373
2551,WA,6718,69,59,89,na,na,56,273
2552,WA,6720,180,136,298,648,108,na,1370
2553,WA,6721,312,303,712,1127,304,na,2758
2554,WA,6722,752,761,1582,2264,321,na,5680
2555,WA,6725,1106,1526,2966,1857,159,na,7614
2556,WA,6726,235,304,586,390,41,na,1556
2557,WA,6728,334,425,750,399,27,na,1935
2558,WA,6740,62,96,145,na,na,106,409
2559,WA,6743,620,738,1431,868,88,na,3745
2560,WA,6751,240,181,386,870,87,na,1764
2561,WA,6753,368,327,700,1068,169,na,2632
2562,WA,6754,103,72,128,411,45,na,759
2563,WA,6760,16,23,34,na,na,27,100
2564,WA,6765,161,269,276,135,5,na,846
2565,WA,6770,140,211,294,151,13,na,809
2566,WA,6798,93,98,305,408,18,na,922
2567,WA,6799,41,53,104,na,na,48,246
2568,WA,WA other,1769,1895,3067,2328,613,na,9672
