,"Taxation statistics 2014–15 Individuals: Selected items, by taxable status, state/territory1 and postcode, 2014–15 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139
665,NT,845,388,385,20410774,325,4035527,280,366262,8,11313,293,4073502,11,35380,323,17764874,51,178196,2,5481,4,60138,35,191760,21,218571,0,0,9,285392,192,197973,16,6691,45,129879,45,55658,387,21174111,108,215823,16,37150,227,58545,17,25689,194,164049,17,5004,8,18588,2,1656,122,50982,220,81526,322,726828,21,266640,19,183443,21,-197313,46,705219,15,56264,5,37298,5,229949,5,37892,17,748119,15,256982,19,1629334,18,345196,16,10478,14,5304,16,1518,65,1542013,52,717555,29,82770,66,682089,34,314706,32,-255107,66,59599,22,58303,2,15864,1,30000,15,37816,6,72562,28,1308688,33,1381250,36,1181684,10,-360189,29,376945,37,16756,13,46466,7,21336,1,36,198,60440,167,314,4288160
666,NT,846,204,201,10619315,167,2366730,150,207560,4,6427,155,2367351,5,12333,166,9485644,19,123979,7,156592,9,91979,19,96517,15,152846,2,9880,7,170764,96,146976,17,2247,38,219798,38,94214,201,11477575,41,104470,11,103623,122,38952,3,8497,93,88905,9,6928,0,0,1,3300,44,33646,113,36886,163,468226,3,78766,5,60335,13,521487,18,486699,7,937,2,36299,5,200470,2,11207,7,205192,3,64590,8,426637,6,116007,8,43106,6,573,7,10250,33,546504,26,260532,21,46982,32,250457,16,100907,17,-112374,33,-11467,5,11139,1,16,2,22000,12,21019,7,920801,14,790241,20,1711042,19,1648935,8,-945776,15,106377,22,-839399,4,18508,7,13304,1,526,99,32128,92,165,2499222
667,NT,847,171,167,7977764,132,1478588,114,140196,2,2470,122,1497442,5,17046,134,6233233,30,181244,18,292681,14,68754,27,136225,10,142756,1,1625,2,33913,78,61212,6,652,16,379938,16,162828,171,8292996,24,69078,7,36040,95,32805,6,12971,68,60783,1,397,4,98,1,4,35,15460,92,34716,132,268953,3,57893,10,20717,2,26866,23,450165,4,283,5,84282,0,0,2,185581,1,3920,1,745,3,49540,14,150119,2,95,2,95,2,14,26,392194,20,114294,13,26944,26,211656,13,112153,13,-72853,26,39300,17,4151,0,0,0,0,4,6601,1,1120,8,1411093,9,1412213,9,1485114,1,-15714,8,-189240,9,-204954,3,4987,2,2713,1,204,92,27267,58,132,1589874
668,NT,850,3715,3703,201336359,3189,39496361,2727,3476660,53,60725,3000,40439040,165,573068,3409,183751512,800,1416684,67,437488,45,221314,332,2292191,114,1309587,30,196525,55,1460419,1773,1203759,151,89256,405,2579172,405,1105201,3708,209046239,947,2000919,304,679128,2448,678963,197,290761,2052,2028239,97,56146,35,26882,18,66932,1007,325700,1808,529809,3128,7545752,376,7331324,247,2263528,38,-104038,272,6275559,85,589341,31,528732,9,246371,24,163305,92,1505020,86,378448,111,3333984,102,2023813,68,519692,62,264434,66,176808,628,12323291,552,6165614,289,925317,617,6223263,224,1729611,404,-2720514,630,-990903,169,200069,33,177379,27,481839,139,378382,25,4851327,206,20279790,226,25131117,214,20983436,26,-1199796,208,5178359,228,3978563,139,906852,49,105773,8,22081,1970,582449,1577,3379,43176729
669,NT,851,1250,1241,70109606,1087,14683173,973,1309468,25,26619,1014,14895872,34,119506,1081,63211064,214,600935,31,343554,21,143039,46,221846,36,396637,11,61907,24,716199,596,881503,81,64990,202,1493423,202,639991,1242,73861992,313,776197,95,240045,832,268924,46,102039,699,800094,26,16251,16,46715,9,11317,267,98811,606,213504,1072,3197345,98,1784563,137,955369,39,-92905,131,3817306,28,413130,5,28106,2,41711,13,149156,31,362641,27,52804,39,766823,56,960982,19,112740,17,83037,22,9570,244,5041787,205,2858649,113,370256,241,2489048,88,634211,156,-1310377,244,-676166,77,90802,8,112241,21,478762,63,144686,15,2775478,98,7873847,108,10649325,104,9753537,17,-1628550,100,2016366,112,387816,56,484494,24,56973,5,6950,650,198693,645,1067,15379602
670,NT,852,1692,1673,66034796,1319,10229467,1013,1045087,31,42547,1097,9742169,41,158256,1594,60392961,121,430054,9,61674,13,141338,461,3329249,87,1056327,1,44028,4,104637,532,468553,39,18613,92,607510,92,260342,1688,70022478,238,628595,99,167592,1047,291489,50,74569,947,769396,44,31972,4,3094,4,8444,313,70832,955,236765,1404,2444885,107,2063055,84,456484,46,774804,83,1049590,25,61443,11,115629,4,76146,4,23809,22,61576,18,9821,33,170191,36,426583,24,64168,21,40348,22,8969,178,2626351,162,1596003,80,206906,178,1504427,46,184289,134,-865274,180,-680985,84,52836,8,9639,2,59648,31,102489,20,2722645,44,2900005,59,5622650,55,4373953,25,139535,47,1054169,67,1193704,41,155394,2,9880,3,1727,964,332204,367,1576,12627614
671,NT,853,396,396,24265443,366,4839079,143,135727,3,1300,362,4799480,34,108994,388,25361216,290,134408,8,28381,2,1280,3,10071,0,0,4,9095,4,137214,241,88119,10,1009,42,23357,42,9975,396,25496597,238,576305,33,39157,342,116857,40,65257,288,305776,12,6180,5,18660,4,1095,165,33060,190,48152,371,1219355,54,447366,11,84098,0,0,17,8176,17,5500,0,0,0,0,1,14097,11,23973,11,5631,15,45618,13,262477,15,22111,15,4463,15,605,109,1671068,108,980393,57,203064,109,903721,30,97081,79,-513191,109,-416110,6,2933,3,467,1,1150,6,7706,0,0,6,127115,6,127115,5,76678,0,0,6,36784,6,36784,2,8048,2,719,0,0,204,47281,116,388,5803132
672,NT,854,422,421,18015299,332,3012257,267,293524,8,7693,291,2830515,5,14566,395,16552518,22,124429,2,6858,2,1559,131,1110474,14,151080,2,41477,0,0,126,53819,7,4341,14,43819,14,18774,422,18602268,51,145811,24,89304,246,67841,8,17014,217,161200,7,6352,5,3293,0,0,45,14537,227,77792,361,586874,31,602299,19,122963,5,-95118,19,467279,1,1622,1,1090,3,4714,3,49262,1,1,0,0,2,8262,8,74313,2,23388,1,904,2,1520,25,462785,20,223671,12,45713,26,269895,7,79461,19,-155955,26,-76494,16,2913,1,2500,0,0,3,3730,4,303646,8,238682,11,542328,15,445794,5,-49977,11,20774,15,-29203,5,22005,2,3408,0,0,240,80826,83,392,3677049
673,NT,860,827,820,48030998,743,9596293,685,909212,30,35065,696,9498743,38,123830,773,47174585,135,422110,17,116873,22,159139,73,561733,25,316631,4,26857,13,317337,361,281601,35,3073,84,397302,82,170245,825,50903060,255,664855,124,400829,647,241311,62,99733,533,971512,7,2026,15,9784,5,2725,297,120107,513,179379,751,2747799,95,1927099,57,447257,2,-273146,51,660738,12,13814,0,0,3,124543,5,150001,16,302943,13,58519,20,754732,28,401875,9,3226,8,2643,7,244,144,2351323,129,1238959,56,156000,146,1397120,53,291601,94,-732357,147,-440756,17,41332,8,71313,0,0,27,55538,5,188754,37,2465219,42,2653973,43,2399466,5,-53739,38,113261,43,59522,16,76510,9,18864,2,782,433,121928,295,765,11420745
674,NT,861,664,662,31755745,565,5596060,492,560435,14,17790,515,5400476,22,92484,628,31207267,128,552885,12,48431,16,31189,120,819551,21,271333,1,8942,4,87932,208,128639,11,1965,38,30540,38,13078,663,33822191,170,402372,119,381328,517,186541,43,81356,380,640950,3,1725,3,2901,1,3197,191,90596,428,100264,595,1917702,63,1238613,32,196214,3,736989,18,136455,3,16084,0,0,0,0,8,37197,2,3569,2,840,4,12957,21,332131,1,24487,0,0,4,4819,88,1659203,77,925396,30,154246,88,1178888,21,126134,68,-725461,89,-599327,6,5510,1,102,1,1227,7,25245,1,178839,28,2611339,29,2790178,28,2374689,1,28965,28,375901,29,404866,13,55055,1,2689,0,0,379,123521,176,625,7150390
