,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2000,11180,16855,973413475,57756,2375,37838372,16855,287835453,17078,30,4775,23092291,16755,289901259,16845,199819843,1820,-8466167,1295,86852241,16815,1048626878,14325,74710742,13590,53689256,105,-9299555,895,82736074,14735,634142073,9080,11515479,685,564263,12495,17743659,2915,10470375,205,769820,360,1293274
4,2006,35,120,6684313,54789,35,301845,120,1722736,14121,26,50,140689,120,1733868,120,1397809,10,-35832,10,271838,120,7146130,100,416949,100,404716,0,0,5,-5793,110,5072506,90,86903,10,4067,80,276877,45,12919,20,70526,5,12003
5,2007,1055,2735,134667899,49257,510,1968969,2735,31963863,11691,24,1190,2273748,2725,31638540,2735,29036875,330,-2555932,215,8625436,2730,142161575,2335,7458347,2025,3571803,15,-168048,175,3768164,2545,118477663,2105,1783198,200,109602,2100,4475552,850,443017,130,554085,150,515887
6,2008,805,3260,164167624,50343,575,2072070,3260,39242841,12034,24,1330,2187255,3255,38527525,3260,35680656,345,-1909267,240,3819941,3260,172551862,2790,8367241,2295,3868596,15,-41974,275,5162093,3065,145946894,2655,2268561,325,203902,2525,5338891,1145,734347,275,1150848,260,801253
7,2009,1205,6560,444630688,67789,1635,10521052,6560,123399218,18814,28,3025,8159455,6535,120958559,6560,104509700,1085,-8500023,760,17881645,6545,477221561,5745,32210584,4455,14626973,45,-1121201,410,14239605,5985,372729113,5415,6004228,625,380734,4995,13207908,2290,3024055,145,493332,380,1316062
8,2010,2640,13885,917421414,66063,3245,19252098,13885,254396084,18319,28,5720,14726005,13865,247912227,13885,214735404,1875,-13602038,1420,29568133,13880,973588502,11945,55926883,9380,26722228,105,-2555262,1310,44444750,12580,749572510,11715,12777843,1430,949754,10340,27937111,5090,2562990,655,2492210,920,3191513
9,2011,1675,10825,890508228,82279,2995,30710204,10825,268824500,24838,30,5105,24420029,10795,266248347,10820,205556163,1630,-10345781,1420,52352657,10810,958329193,9370,67410854,7325,41442416,90,-3332986,1090,36972488,9310,634742906,9255,12342713,1115,735487,7595,22223565,4165,5852015,395,1501320,650,2374616
10,2015,540,5135,313347429,61046,1295,3985011,5135,80324062,15649,26,2190,3688788,5125,77701761,5135,72843572,760,-6110631,505,8906761,5130,331761551,4645,18262707,3240,6228428,25,-810700,480,11238318,4770,281221944,4625,4464301,545,312263,4170,12268518,2210,784412,205,785751,370,1106430
11,2016,1045,5535,314057453,56740,1285,2919019,5535,78706209,14220,25,2250,4406806,5525,76742483,5535,70928749,820,-5255545,480,7431493,5535,332857323,4930,18752210,3810,5811006,30,-253143,565,14218488,5115,281273258,4810,4418951,540,330762,4400,11770401,2220,1100303,320,1325720,335,1103974
12,2017,965,4895,258180184,52722,845,1551159,4895,61219878,12502,24,1980,3429510,4880,59634956,4895,58357188,640,-5016178,365,3784105,4890,275239372,4335,16863348,3095,3835682,20,-271407,370,8899149,4550,244890371,4110,3513853,455,268919,4010,12558250,1790,624620,240,1033745,315,1084057
13,2018,1475,5900,283882741,48116,1425,2236144,5900,64431763,10921,23,2415,5631912,5885,64167033,5900,59065514,1120,-5219899,460,16345563,5895,298374938,5305,14480054,4510,6111784,20,-602808,490,9242911,5205,244453937,4945,3788118,385,221701,4695,10001223,2465,904346,250,922130,200,626954
14,2019,880,4280,216780727,50662,1125,1917063,4280,49259214,11512,23,1645,3263898,4275,48728634,4280,44948070,800,-4896195,360,4114753,4275,229025332,3945,12171811,3140,4671587,15,-242317,295,6128031,3870,198217017,3775,3015111,265,159033,3515,8391944,1955,661017,140,532776,95,272112
15,2020,1100,4925,226151722,45938,1080,1308996,4925,48546132,9861,21,1820,3640135,4915,48070176,4920,45180734,865,-4228592,310,2962595,4920,238765456,4495,12503531,3630,4211091,15,-202913,335,6465592,4475,211270729,4230,3114904,290,174650,4055,9024049,2140,788009,150,557002,145,460707
16,2021,1185,8625,914988268,106110,3150,40078818,8625,305647588,35446,33,4420,20395143,8585,299323017,8620,220641545,1650,-10664021,1500,73333367,8615,995713146,7400,79671570,6085,47680119,130,-4161628,915,63418359,7185,603923633,7670,13132467,770,560439,5715,18791979,3620,8019563,225,783486,490,1820130
17,2022,1360,6100,467631381,76686,2095,12613024,6100,137560757,22558,29,3090,16575845,6090,135757406,6095,104126707,1160,-1860542,955,24550638,6095,501270776,5265,33520620,4530,18132410,55,-1881913,595,27665398,4910,326755158,5130,6450781,445,291910,3965,11141132,2495,2349795,155,602202,240,846386
18,2023,805,5450,842885177,154629,2795,66937837,5450,311155097,57082,37,3255,36405290,5435,305719115,5445,186579880,1210,3053202,1295,113131112,5445,939030876,4590,94765629,4315,74033632,65,-4104165,635,41004175,3925,392621571,4905,12154408,275,204675,2860,11157847,2545,11346129,95,359077,215,731291
