,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,6000,560,2915,171678824,58935,615,3346995,2915,50654937,17389,30,975,3139330,2900,49836790,2915,38448291,510,-631187,330,9085202,2910,180387381,2230,8679663,1805,4946153,30,-1120286,245,9838157,2465,123527194,2145,2162324,265,202138,1785,3771393,790,309158,175,669205,160,517710
4,6003,350,2000,92446854,46270,355,1275104,2000,23364901,11694,25,610,1280959,1995,22713353,2000,20630649,245,-814532,155,1945464,1995,96589478,1620,4111917,1205,2019029,20,-248132,170,3830968,1810,78450687,1590,1260045,165,103208,1420,2723762,600,162750,215,891561,165,508483
5,6004,570,2960,179407942,60570,750,4617428,2960,52476887,17717,29,1155,3115886,2955,51952401,2960,42559237,470,-2319096,400,16110720,2955,192739269,2405,13220101,1940,6660022,45,-400719,205,7172976,2535,126863049,2320,2376640,200,140859,1935,4148049,905,1792399,160,655273,150,477321
6,6005,335,2380,154069748,64762,565,4158855,2380,46483032,19539,30,935,3523493,2370,45716545,2380,35913398,340,-1149350,320,14153534,2375,165079974,1925,10557867,1440,5607814,45,-1153912,165,8780036,2060,103522946,1950,2039087,185,119629,1585,3494315,750,376279,140,544115,170,555944
7,6006,635,3960,209680696,52963,1205,2958194,3960,55595539,14043,27,1480,3109283,3960,53976670,3960,46273950,835,-3259061,530,7664344,3960,220323873,3365,10446862,2585,4551700,60,-709767,420,12909011,3390,164003154,3395,2981142,230,146376,2745,5878983,1555,491673,320,1332621,265,722359
8,6007,485,3575,219282094,61355,1110,3878915,3575,63686192,17819,29,1470,3535895,3570,62003840,3575,51670866,710,-3334962,535,11026811,3575,231080554,3085,11674728,2310,5555103,65,-1872412,340,17754176,3110,165164870,3085,3129949,240,145537,2520,5544302,1385,619860,260,1079402,245,746034
9,6008,1105,7490,537973229,71806,3000,14267256,7490,166588046,22235,31,3510,11230728,7480,164788143,7490,126729870,1460,-6363400,1455,45048017,7490,574981477,6270,36572678,5275,20514424,170,-5244314,735,35208468,6100,353070439,6440,7562603,435,299896,4735,11903789,2990,3051818,435,1766791,405,1348433
10,6009,1915,9240,869022452,94070,4645,41843386,9240,300588323,32538,35,5025,29047387,9200,298143637,9235,181635567,1915,-7662379,2175,90544020,9220,933929597,7470,64439756,7150,52104380,280,-6192780,945,91600569,6620,412171136,7765,12302138,265,179458,4780,13064095,3660,4650629,545,2493171,370,1135561
11,6010,1560,8350,693672258,83065,3930,29194669,8350,228049121,27308,33,4295,20552896,8330,227005368,8350,155212583,1525,-7174455,1960,78114514,8340,748973749,6935,55079385,6345,38136460,240,-6317305,800,44705429,6055,367159480,7010,9589864,300,202847,4530,11662341,3360,3825208,415,1566167,295,927405
12,6011,770,5320,553274266,104038,2565,32219974,5320,197653114,37167,36,2670,14936312,5300,195100575,5315,121644133,1155,-8004338,1400,78345970,5310,598397246,4350,44488583,3965,37870812,165,-4208578,550,38330884,3715,244668904,4590,7863219,265,199398,2720,8011449,2030,3413700,220,891696,185,591612
13,6012,810,4205,402146468,95658,1650,31306984,4205,142715271,33947,35,1830,9701720,4195,140873486,4200,90731737,685,-3242846,845,68574333,4200,433452975,3400,30989357,3045,35395416,115,-5839893,370,19079282,3235,177871904,3480,5676230,175,161893,2420,6094009,1515,5080426,305,1275406,150,421209
14,6014,1815,9865,621793618,63017,3835,16612091,9865,182039916,18449,29,4430,12648444,9850,179607321,9865,141164850,1800,-7582860,1780,47380177,9860,656458145,8440,34132020,7095,23391139,210,-3463543,840,37933495,7895,416097825,8255,8695681,405,256312,6345,12943922,4100,1761367,560,2159698,380,1132036
15,6015,775,3740,356402497,95244,2040,16701090,3740,122974324,32863,35,2085,10405485,3730,121822413,3740,80609211,855,-3859927,990,49500751,3740,381724639,3075,25053612,2955,20768672,130,-2927188,365,24486511,2465,163000776,3230,5050440,100,86709,1815,4800464,1505,1144389,120,532127,70,222459
16,6016,690,4420,222277670,50300,1225,1834292,4420,57228282,12951,26,1480,2498786,4410,55581239,4415,50940186,760,-3564863,550,7614257,4420,232624184,3805,10385743,2880,3613900,50,-476223,415,10002203,3885,186407063,3770,3158891,265,161343,3225,5872981,1690,456602,315,1309625,220,621971
17,6017,305,2010,85067434,42343,340,1009767,2010,19763320,9837,23,610,1041423,2010,19211526,2010,17197758,235,-808804,150,2595653,2010,88620473,1725,3471670,1215,1751298,10,-196481,155,3264826,1795,71059056,1710,1190857,110,68623,1520,2206830,725,127200,195,772320,85,240312
18,6018,3270,16290,847714737,52039,5455,15604771,16290,220052861,13508,26,6720,15981459,16270,217578610,16285,182595980,3005,-13004986,2520,46957269,16285,895138893,13965,46778601,11225,25877067,205,-2099309,1405,39905916,13260,628847165,13840,11876522,725,458005,10945,20977678,6515,2452079,1000,3811514,680,1880273
