,"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141
665,845,NT,361,149,357,17965754,290,3388511,259,240355,5,5216,265,3265171,13,41935,309,16536613,56,187024,2,17777,6,15942,35,190148,15,174670,1,4241,11,338760,171,163950,20,5724,43,84376,42,36153,360,18939858,89,245310,14,24340,207,51458,14,20473,185,193605,13,4814,7,13787,2,1113,118,47336,223,84482,306,729320,11,148298,15,125016,23,-170197,37,273066,14,47760,2,15166,9,169688,4,24181,14,334897,12,71002,14,679946,17,2225067,14,173728,13,19800,13,15177,69,1215885,59,599303,30,75446,71,614715,26,206105,44,-279684,70,-73579,19,3580,2,5485,1,25000,9,17547,7,155418,31,1451831,37,1607249,40,1346048,13,-274113,31,506632,41,232519,12,52813,10,26646,3,1284,190,55781,29,11925,10,54962
666,846,NT,198,89,193,10546577,161,2175584,149,149777,4,5939,149,2163272,7,18044,159,9344063,14,82113,5,28632,4,47614,15,85627,12,122957,1,5855,8,197468,101,217040,14,1247,33,216947,33,92992,196,11047137,40,115068,10,88063,113,31719,7,12028,84,73781,11,5976,3,82,1,4675,41,11079,115,39587,166,400617,3,38969,4,58515,14,-55092,22,478149,7,2889,0,0,7,223990,3,42630,5,23499,3,26,5,50601,5,219154,7,3919,6,606,4,72,30,464440,21,177327,17,34157,32,218108,16,130082,17,-95234,33,34848,11,453,1,536,0,0,10,18559,6,248318,19,1330419,24,1578737,23,1625225,9,-414419,20,217079,27,-197340,9,54720,6,11416,1,559,101,32768,20,8242,8,8485
667,847,NT,195,69,192,10755385,147,2230403,137,144241,11,10249,143,2223296,6,19581,170,9797696,34,335967,1,1312,1,1996,21,159543,8,82600,1,9532,2,33018,85,73389,9,33860,14,202883,14,86945,195,11427925,35,86672,8,28731,132,38777,6,6886,86,94749,3,951,4,94,0,0,44,20444,98,51982,155,336067,4,72418,6,34856,2,1069,19,321012,2,1191,2,17040,0,0,3,158088,2,1068,0,0,5,23973,19,909620,2,223,2,223,2,35,32,689273,26,301069,17,63436,32,393966,10,139759,22,-208957,32,-69198,17,33951,0,0,0,0,4,6781,1,1177886,9,371128,10,1549014,11,1338701,1,193384,10,-50687,11,142697,6,20232,2,3047,2,1544,82,25242,18,7195,1,6
668,850,NT,3453,1444,3441,193163189,3040,38061361,2633,2515362,71,83837,2880,37796198,140,509083,3223,177722459,774,1263320,31,423087,33,286908,255,1461011,103,1019657,26,173538,48,1237465,1548,1307125,145,137524,391,2207514,385,945563,3449,200128472,917,1759524,278,584791,2389,625211,197,285174,1977,1964343,94,54997,48,31665,10,10562,986,327149,1676,533852,3004,6689954,376,7038259,264,1745499,45,-320813,235,6118908,81,649847,26,380467,8,247043,26,180536,73,589729,62,132988,91,1631031,115,2585396,65,144669,56,34861,54,110675,581,11017482,521,5993861,230,741492,583,5813622,193,1474429,393,-3005922,586,-1531493,156,202643,24,198818,17,249856,101,262830,18,443066,177,17136317,191,17579383,185,12877957,21,-474020,176,5013506,192,4539486,125,1013695,37,64503,12,16500,1849,561563,202,82766,58,284531
669,851,NT,1424,751,1412,80366296,1235,16474391,1116,1127320,40,49809,1145,16502696,42,127674,1230,70042710,230,901355,11,138240,10,133276,62,312860,44,464459,9,59737,29,950944,660,1219276,107,166235,235,2042961,235,875301,1423,86089517,358,846797,111,221942,939,281788,40,63568,757,913258,39,11754,10,42822,14,27998,343,138663,742,229058,1235,3410580,126,2483921,143,1078028,41,-402302,173,4123653,39,142045,9,196383,9,845514,15,170837,51,1810789,43,236229,56,7422061,73,825085,35,100563,36,78832,36,12791,266,5387764,216,2851769,83,262209,264,2703065,106,790899,162,-1220178,268,-429279,91,159793,14,42397,23,474980,67,156522,19,3302419,111,11497998,123,14800417,118,12633763,23,-1426211,111,3482245,126,2056034,64,571704,24,62750,8,6123,741,221012,124,51276,20,25934
670,852,NT,1617,344,1613,62138161,1246,10683365,968,787874,31,39732,1032,9782855,36,134001,1527,57792710,111,432124,12,127359,10,116792,441,3011214,69,746777,1,42829,3,51710,466,399669,37,31231,78,630577,77,270219,1615,65547561,222,584481,93,195734,1092,264463,41,65086,938,771664,41,15606,11,29831,7,9403,206,59548,912,235103,1342,2423540,101,2045255,80,415674,32,74231,70,1820969,18,2487,11,346992,4,57336,5,15590,12,56246,12,9290,23,2027015,42,643361,21,16984,21,4012,18,299,155,2255653,143,1359201,64,134216,156,1276466,52,210377,105,-724607,157,-514230,83,68022,8,2381,4,100000,32,92621,17,2494363,39,1989582,52,4483945,56,3890979,23,-183097,43,710473,61,527376,33,112781,2,1048,3,1003,934,325860,88,35362,18,55944
671,853,NT,384,130,384,24857870,352,5208176,137,103557,4,6849,345,5062659,23,94914,377,25249186,275,123983,4,43972,4,14466,3,18438,3,15100,5,10571,6,180689,223,106534,10,1088,44,25521,44,10832,384,25862762,232,502994,33,21014,332,102553,27,24210,282,234165,16,8156,9,9369,3,4851,163,27519,197,52971,366,990084,69,528408,13,57742,0,0,23,21997,19,7187,0,0,0,0,2,19478,5,15480,5,3705,6,32102,10,154877,20,32643,20,16063,18,2540,113,1734224,111,1022342,54,142627,115,926151,31,128211,84,-485107,115,-356896,7,113018,4,794,0,0,3,2282,0,0,8,218701,8,218701,9,191226,0,0,9,27117,9,27117,4,5710,3,4841,1,64,162,39450,1,69,5,52614
672,854,NT,427,110,424,21829630,342,4369649,284,287693,11,11290,297,4167550,6,19385,398,18043187,22,60841,1,354,3,12360,115,857774,24,246352,2,80066,3,66884,129,109401,4,2758,15,826664,15,354236,425,22635797,48,162294,18,103619,259,74801,5,18810,204,171892,5,1687,3,10682,1,4742,49,19865,249,88029,356,662928,28,545251,24,169638,3,7911,18,1543703,3,301760,4,25228,1,99749,2,7502,7,125359,6,25080,9,255172,9,152828,2,339,3,425,3,114,38,852575,35,487928,15,57603,38,495250,9,41934,29,-230140,38,-188206,20,26133,1,491,0,0,4,6507,4,374052,12,543194,16,917246,16,588720,4,35971,11,250340,15,286311,9,33739,4,11936,0,0,217,71736,27,11908,3,1949
673,860,NT,819,293,814,47961307,738,9675517,685,682356,30,45189,700,9265727,28,148001,760,46351330,146,478071,8,36505,11,110422,56,368350,19,239776,1,448,10,252433,325,381113,39,4626,85,705392,83,302290,818,51303595,227,608126,122,382225,632,219899,56,100013,538,842385,9,1387,14,12566,8,6911,296,107092,528,145973,751,2454570,103,2114304,70,558877,2,-258071,52,551094,14,13782,0,0,3,120495,8,2042792,18,1500338,16,533883,24,3992503,29,359829,14,26891,12,2477,12,559,165,2743526,149,1476541,71,201426,167,1646898,55,325527,112,-906866,167,-581339,21,29655,6,24806,0,0,18,27993,7,69810,41,3155186,48,3224996,48,3304566,7,-443904,44,-1552176,50,-1996080,18,85875,6,16252,6,2681,445,130404,77,32635,20,92246
674,861,NT,682,185,681,31585848,580,5403866,506,421742,21,25745,533,5004064,15,57633,643,31227517,127,553396,4,36398,17,21528,97,667181,15,168387,3,26503,0,0,194,135771,12,313,30,63811,30,27338,681,33387020,174,410521,100,319688,524,181970,47,88358,392,595285,2,726,4,2490,1,190,192,49974,450,112584,619,1788931,64,1296459,39,208409,5,121070,19,73466,2,242,1,985,0,0,0,0,7,123921,6,13917,9,248981,21,437631,3,12731,3,2077,2,24,96,1657453,78,855399,25,165476,96,1051045,39,168351,57,-582818,96,-414467,12,17155,0,0,1,1226,8,24794,1,83638,27,2211323,28,2294961,29,1869443,2,-33694,26,457126,28,423432,14,99009,3,3974,1,541,407,134884,53,23593,17,32598
