,"DETAILED TABLE 2.6b: Selected items, by taxable status, state/territory1 and postcode, 2010-11 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Non-taxable individuals,,,,,,,,Taxable individuals,,,,,,,,All individuals,,,,,,,
2,Postcode,State/Territory1,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax
3,,,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$
1565,4408,QLD,165,20,35397,165,624904,120,1458739,0,210,20,-35556,210,10496680,210,9760529,1625460,380,40,-159,375,11121584,330,11219268,1625460
1566,4410,QLD,335,25,-1960,330,1800145,225,2785691,0,435,55,-235575,435,22510875,435,20754357,3487136,770,80,-237535,760,24311020,655,23540048,3487136
1567,4411,QLD,80,5,7524,75,-254770,45,512828,0,135,10,-65816,135,8676291,135,8016818,1529565,215,10,-58292,215,8421521,180,8529646,1529565
1568,4412,QLD,60,5,-1911,60,186487,45,560231,0,95,15,-29775,95,5497893,95,5200214,1010995,155,15,-31686,155,5684380,140,5760445,1010995
1569,4413,QLD,1190,125,-320623,1150,10591653,950,11783770,0,2655,405,-1828384,2655,164445371,2655,156714811,32280785,3845,530,-2149007,3805,175037024,3605,168498581,32280785
1570,4415,QLD,325,25,-1153,315,2765514,250,2831361,0,730,120,-710261,730,40477808,730,38411589,7162513,1055,145,-711414,1045,43243322,980,41242950,7162513
1571,4416,QLD,110,15,-7266,110,-1480176,65,748184,0,165,20,-37232,165,9961538,165,9135168,1780479,275,35,-44498,275,8481362,230,9883352,1780479
1572,4417,QLD,115,5,-4093,115,803476,80,837554,0,235,30,-260483,235,12121957,235,11393055,1903065,350,35,-264576,350,12925433,315,12230609,1903065
1573,4418,QLD,40,5,6602,40,274894,25,267965,0,30,5,-2227,30,1648472,30,1544888,237516,75,5,4375,75,1923366,60,1812853,237516
1574,4419,QLD,245,15,30165,240,1994161,170,2184406,0,320,40,-115464,320,16467494,320,15223591,2543290,560,60,-85299,555,18461655,490,17407997,2543290
1575,4420,QLD,270,25,-42835,265,104500,180,1961527,0,515,60,165350,515,30292955,515,27011408,4816111,785,85,122515,780,30397455,695,28972935,4816111
1576,4421,QLD,405,35,42541,370,3225004,290,3371698,0,645,70,-276590,645,33570027,645,31964539,5560596,1050,105,-234049,1010,36795031,935,35336237,5560596
1577,4422,QLD,105,10,-14501,105,656523,70,732795,0,180,15,-27182,180,9203792,180,8213905,1299605,285,25,-41683,285,9860315,250,8946700,1299605
1578,4423,QLD,65,5,33842,65,-850256,40,564138,0,50,5,-25863,50,2533303,50,2252651,350792,115,10,7979,115,1683047,90,2816789,350792
1579,4424,QLD,60,10,-22525,60,-797879,40,469831,0,65,15,-20707,65,2933013,65,2589298,366361,125,20,-43232,125,2135134,105,3059129,366361
1580,4425,QLD,75,5,5456,75,-121445,50,676661,0,70,15,-68922,70,3404094,70,3293218,520628,145,25,-63466,145,3282649,120,3969879,520628
1581,4426,QLD,30,5,-10532,30,8468,15,159112,0,30,5,-6198,30,1280962,30,1256611,182134,60,5,-16730,60,1289430,45,1415723,182134
1582,4427,QLD,70,5,1556,65,-279414,45,604011,0,145,20,-86041,145,7868159,145,7354458,1248318,210,25,-84485,210,7588745,190,7958469,1248318
1583,4428,QLD,140,15,8735,140,1554923,95,1136927,0,250,35,63560,250,13115163,250,12487384,2089391,390,50,72295,390,14670086,345,13624311,2089391
1584,4454,QLD,180,15,-39613,180,586585,125,1455070,0,330,35,-84440,330,20450005,330,18604481,3557164,515,50,-124053,510,21036590,455,20059551,3557164
1585,4455,QLD,1215,135,-453342,1185,9750911,920,10856592,0,3885,560,-1840357,3885,236255086,3885,222949819,44763237,5095,695,-2293699,5065,246005997,4800,233806411,44763237
1586,4461,QLD,20,5,4191,20,250481,10,82170,0,25,5,-1513,25,3394885,25,3342540,1182201,40,5,2678,40,3645366,30,3424710,1182201
1587,4462,QLD,25,5,-9691,25,126050,15,187339,0,30,5,-35545,30,1659867,30,1593933,270982,55,5,-45236,55,1785917,45,1781272,270982
1588,4465,QLD,315,30,-138510,310,2551604,215,2484738,0,470,55,-273555,470,26334416,470,24808818,4535342,785,85,-412065,780,28886020,685,27293556,4535342
1589,4467,QLD,40,5,-933,35,-74666,20,205888,0,50,5,-43693,50,1983294,50,1836953,228641,85,10,-44626,85,1908628,65,2042841,228641
1590,4468,QLD,75,5,-7449,75,941598,55,612407,0,125,10,-27514,125,6920277,125,6257591,1035923,200,15,-34963,200,7861875,180,6869998,1035923
1591,4470,QLD,565,50,-101450,545,6134992,470,5879160,0,1595,255,-568836,1595,87124994,1595,82759152,15010580,2160,305,-670286,2140,93259986,2065,88638312,15010580
1592,4471,QLD,0,0,0,0,0,0,0,0,5,5,473,5,93189,5,88466,11552,5,5,473,5,93189,5,88466,11552
1593,4472,QLD,290,25,-79162,285,2397578,235,2745566,0,615,70,-230890,615,33906097,615,31084798,5416652,910,95,-310052,900,36303675,850,33830364,5416652
1594,4474,QLD,15,5,-44400,15,218357,10,148611,0,10,5,-25046,10,1279202,10,1224450,343968,25,5,-69446,25,1497559,25,1373061,343968
1595,4475,QLD,15,5,18017,15,344651,10,213017,0,20,5,-5105,20,986242,20,774800,95546,35,5,12912,35,1330893,30,987817,95546
1596,4477,QLD,115,10,-24709,115,1665709,80,925317,0,195,35,-98528,195,10773877,195,9848043,1699599,310,40,-123237,305,12439586,275,10773360,1699599
