,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2000,7020,16800,788302946,46926,2260,24475084,16800,237754901,14153,30,4380,22109045,16705,238560734,16795,163694725,1770,-7615102,1095,56633153,16765,844838119,14405,55628370,12790,36151737,100,-3595907,825,69939671,14795,524717455,7830,9294948,545,388564,12645,16461837,2835,6105342,215,884476,320,1081242
4,2006,55,185,8687848,46961,40,111088,185,2266604,12252,26,70,213364,185,2215337,185,2117105,20,-207854,20,150364,185,9218797,155,530940,130,188102,5,-120000,5,64651,170,8069446,135,117241,10,6562,130,328252,75,48575,25,119221,10,28895
5,2007,800,2745,115063224,41887,490,803608,2745,27131416,9877,24,1110,2067179,2745,26695995,2745,25244226,325,-2353088,180,1791454,2745,121652939,2320,6549178,1810,1996730,10,-205035,190,4758385,2545,106330676,1975,1490763,170,97409,2090,4460377,840,527278,145,556638,145,435945
6,2008,665,3230,145522482,45039,620,1819120,3230,36157120,11191,25,1220,1949487,3225,34922105,3230,32753273,355,-1858000,210,1351840,3230,153885168,2735,8230544,1940,2795628,15,-15649,265,3841073,3035,132411129,2490,1994728,290,174613,2455,4976891,1110,607351,300,1305457,240,643638
7,2009,965,6455,400073669,61988,1540,8259424,6455,117403161,18191,29,2770,7306244,6435,114867656,6455,101290298,1075,-8874022,625,15636577,6445,423826351,5610,23403859,3725,11665912,50,-1548582,375,11273288,5920,337504719,5160,5437075,535,352628,4885,12203322,2195,1498601,170,617645,355,1163423
8,2010,2105,14090,820837559,58253,3135,11816443,14090,233332392,16559,28,5300,11867230,14075,226917574,14090,202654985,1820,-12882608,1200,16808470,14085,870892893,12185,49598170,8120,17928570,110,-2755352,1350,37469779,12840,708404546,11540,11389173,1415,895106,10615,27997847,4980,2465868,755,2985863,905,2904269
9,2011,1335,10735,814237184,75856,3040,27467834,10735,259021834,24131,32,4775,22135530,10715,256570392,10735,200116399,1600,-7314772,1310,47193211,10725,868235447,9245,53455795,6450,37046801,90,-4961585,1090,34564515,9225,581939115,8945,11148349,995,663158,7515,21635059,4000,5196463,415,1594393,580,1854845
10,2015,480,4985,277374540,55664,1225,2733304,4985,73779134,14806,27,1945,2402736,4980,71465700,4985,67771663,735,-5508190,415,3865507,4985,293181153,4490,15640694,2685,4780500,30,-474475,435,10648260,4630,254806143,4385,3951989,485,295485,4025,11403856,2100,737632,205,844783,335,982941
11,2016,810,5625,289392420,51438,1275,2232535,5625,75691720,13454,26,2105,4318240,5620,73489392,5625,68678635,840,-5474555,410,5021043,5625,305604132,4970,16135444,3360,4520399,35,-902135,575,12433913,5165,260347353,4705,4056713,530,326926,4425,10820371,2165,992157,380,1587278,330,941142
12,2017,760,4630,225267081,48664,845,959164,4630,55996290,12097,25,1760,2829945,4620,54222139,4625,54113662,575,-4740258,320,2507212,4625,239369626,4085,14028898,2500,2512333,25,-374120,375,7828941,4295,216862486,3735,3030769,395,229107,3730,10979033,1685,619446,285,1148475,270,803367
13,2018,1255,5945,253761918,42699,1425,2155577,5945,58097593,9776,23,2260,4633044,5935,57336334,5940,52825037,1135,-5100365,400,4271593,5940,266851261,5315,13111659,3905,5206991,20,-101841,500,7778596,5225,228085269,4835,3468369,335,193038,4705,9537678,2435,895489,310,1285993,200,610864
14,2019,705,4335,208440624,48094,1210,1827878,4335,50481325,11648,24,1530,3024836,4335,49718083,4335,46089043,765,-4324734,325,2950572,4335,219140033,3975,10663389,2790,4248606,15,-139178,295,5781937,3885,188801785,3715,2896232,235,148912,3515,7520458,1955,574892,160,649133,95,247871
15,2020,910,4955,211279368,42631,1130,1235619,4955,47537455,9592,22,1755,3398828,4950,46758055,4955,44061174,865,-3404539,295,2654115,4955,226041732,4515,14709863,3155,3606513,20,-214184,350,5572018,4455,197414019,4130,2908782,235,140723,4055,8118975,2155,779060,210,860748,130,363320
16,2021,1010,8780,793038829,90344,3210,26894942,8780,270703614,30839,34,4270,17007587,8760,265316894,8775,202519057,1635,-9441245,1340,39568431,8770,855882753,7480,62348839,5545,33567803,130,-4261880,935,56836813,7365,557109303,7650,11203446,750,503375,5780,18913859,3645,4174910,275,1049370,505,1767741
17,2022,1140,6305,427719725,67860,2180,11048142,6305,130556746,20713,31,2960,14336776,6290,128806801,6300,97395341,1205,-2140688,845,20030396,6300,458083117,5405,30015188,4290,17068517,50,-1494120,640,26019913,5030,302262922,5135,5884722,420,258449,4110,10354613,2515,2400813,200,824673,215,673138
18,2023,665,5495,679659882,123664,2770,48777302,5495,254021807,46219,37,3055,27384731,5485,250766249,5490,150325259,1220,4240929,1165,81120354,5490,748033395,4530,67903238,4065,55662479,70,-2771440,600,38785992,3980,315853434,4835,9791481,270,204859,2885,10668409,2460,9006966,125,445793,210,628589
