,"Taxation statistics 2016–17 Individuals: Selected items, by taxable status, state/territory1 and postcode, 2016–17 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152
3920,Taxable,SA,5064,4792,4792,496995189,4792,137886588.3,4487,9505759.4,55,75197.9,4486,9573313.82,4792,144347933.01,238,1047650.08,3429,276243920,3335,79981573.84,603,3487538,66,1222916,53,2244400,106,570156,141,1199742,76,1774079,309,16353877,3242,7671920,826,1358685,1758,33707024,1754,14188733,4792,520195537,1181,3187613,433,764812,1237,299879,147,370600,2423,3376039,2794,7998943,111,37717,156,539644,402,1241600,1858,2231579,2067,1506658,4077,23164707,364,8490621,149,3227464,822,17469231,47,564159,1531,92281429,728,9237852.29,44,2098642,12,252896,58,799918,570,11181815,570,3569098.67,770,33903796,657,19676129,568,4834678,482,2058959,423,738356.47,1022,19759397,787,9706026,502,1426666,1032,10227088,419,4068119,618,-5668502,1039,-1600383,219,2061351,86,606782,268,7004025,577,2521952,18,1037884,559,112120976,572,113158860,534,67801719,26,-706408,566,45505946,584,44799538,505,15987225.76,363,1825540.34,597,347873.98,2234,719225.81,4207,3435,2684197,353,160900.02,1394,762730.12
3921,Taxable,SA,5065,4852,4852,489454278,4852,134244160.81,4497,9336058.41,61,152484.45,4498,9487122.44,4852,141345087.21,275,1258704.84,3556,274395902,3444,77948480,607,2860280,60,1116024,54,1152544,136,637050,112,925134,58,1042483,319,15508100,3336,6881153,923,1397782,1815,32936967,1813,13934287,4852,515757276,1295,3058130,422,762159,1346,343076,165,412361,2562,3772612,2935,8348338,145,59725,206,870441,439,1470119,2004,2432210,2196,1660946,4223,26182611,363,8719609,157,3201450,798,18777685,61,1709302,1516,91851177,769,12478055.66,44,1594823,12,85903,61,682874,608,18033172,608,6624639.48,846,40290511,630,18591073,543,3771767,497,1498440,447,450067.05,1070,21287055,790,9631144,490,1428906,1079,11074720,471,4676397,611,-5524112,1087,-847715,164,852854,100,949845,311,8519086,561,2754024,26,1156471,554,81755985,579,82912456,547,40311444,35,320611,560,41898029,593,42218640,513,14087137.76,339,1566826.04,576,329415.5,2297,727451,4121,3380,2696915,281,110852.08,1285,721639.85
3922,Taxable,SA,5066,6035,6035,619772623,6032,170775905.27,5724,12035884.3,78,105442.54,5726,12137942.61,6035,179457683.95,321,1422580.91,4345,358524367,4228,104461058.76,753,4317844,94,2606409,71,2492253,152,674784,130,1041330,80,1273409,361,18143839,4008,8622992,1001,1691550,2208,37243934,2203,15635687,6035,653782022,1580,4042832,572,1196308,1638,416409,189,441433,3163,4777752,3620,10874734,152,64590,223,929983,494,1714612,2396,4249647,2553,1880520,5120,33980939,449,10746427,202,4021279,1060,21300016,64,3878959,1931,117271698,937,12718750.58,53,1882409,8,260963,77,1022907,718,16630544,718,5068934.43,959,42511165,839,23338546,705,5792908,588,1933654,551,785457.61,1374,28184710,1080,13775629,723,2238453,1389,15103610,548,5684646,847,-8617628,1398,-2932982,205,1293223,88,1742974,398,11001781,732,3139384,20,524338,644,118429010,662,118953348,626,67949068,23,197915,653,50306630,672,50504545,574,17008534.92,396,1849872.84,732,399153.57,2810,881670.13,5412,4493,3580100,340,142251.52,1839,1017452.35
3923,Taxable,SA,5067,5118,5118,481089309,5114,127939662.34,4803,9216356.35,75,108983.15,4803,9322910.07,5118,134748155.09,456,2085847.87,4124,312552592,4052,88330126.78,694,3665519,79,1445153,93,2107561,243,1230974,108,951818,77,1324663,218,10154036,3395,5403537,652,1659055,1389,21465604,1385,9086756,5118,505935166,1384,3510597,571,1192439,1656,431956,236,624832,2914,4373024,3387,10132848,135,56122,141,564138,275,950684,1947,2819285,2215,1346299,4369,24795998,400,8976043,162,3617263,794,13599525,48,514338,1187,56181602,594,5975730.51,43,1049541,9,608907,65,740846,500,20478802,500,7966051.34,661,45747639,497,14268244,483,6317206,427,4117777,397,919999.97,1026,20940828,798,9977454,488,1471860,1031,10679703,435,4230193,601,-5408014,1039,-1177821,180,3735310,76,749205,267,7163889,509,1739954,19,710857,614,96554066,631,97264923,607,54651780,24,271160,626,41023448,647,41294608,553,13565623.12,262,1098295.6,562,292464.1,2587,806786.76,4118,3454,2471886,365,132508.79,1253,650614.15
3924,Taxable,SA,5068,5739,5739,536046521,5738,142343721.35,5378,10270220.36,58,85516.17,5379,10353614.76,5739,149745867.72,384,1650955.8,4479,330422710,4382,91361834.47,780,3374473,74,1608883,79,1691533,224,1028855,158,1306604,77,1460028,280,13374582,3821,6791062,809,1030016,1814,31656799,1810,13252971,5739,562533931,1638,3919989,528,784451,1978,489384,217,427412,3234,4417760,3766,10038996,177,73307,189,605905,399,1234297,2232,2336471,2451,1541643,4922,26344179,426,9699811,173,3357117,899,16299738,68,1251392,1483,85244894,789,10439675.22,58,1475140,14,665502,69,576761,557,22082046,557,8720283.83,755,47195025,677,18432924,587,4130331,514,1988160,469,699539.97,1118,21678357,887,10461853,556,1548381,1134,11414489,458,4441161,677,-6187527,1135,-1746366,197,1410502,77,770699,304,7988620,604,2496506,27,1596707,579,90689878,602,92286224,576,54830579,32,265512,597,36802158,625,37067670,534,11756160.31,321,1416303.84,612,315987.19,2987,928589.73,4757,3898,2975567,364,149592.83,1344,717346.93
3925,Taxable,SA,5069,4176,4176,421212871,4176,115759582.54,3967,8147915.73,67,75848.34,3968,8222718.62,4176,122396616.9,288,1390421.77,3328,259748347,3253,74005528.38,526,3026794,51,1457946,49,1185047,152,634325,70,520632,65,1059568,188,9415746,2742,4170388,564,565991,1308,16042090,1306,6732740,4176,442741337,1157,2873233,380,756440,1348,337149,154,370775,2371,3368254,2761,7705851,123,54436,115,570551,232,888927,1606,2376484,1791,1262446,3573,21458133,330,7852099,143,2770343,730,14492339,29,-90343,1193,73830809,602,8117131.3,39,1103772,3,17184,37,454494,417,11475542,417,4055248.35,559,26248849,470,11702764,452,2174770,397,1089142,373,188628.2,890,20021271,689,9835786,459,1560974,903,11192481,378,3361135,526,-5929105,905,-2567970,153,1461523,74,582844,253,6475208,444,2091984,20,3074511,496,88787090,514,91861601,485,45378453,22,369461,502,46134089,520,46503550,471,16429869.71,213,960839.6,550,308324.73,2055,648357.38,3512,2834,2018506,265,106084.79,1158,611025.33
3926,Taxable,SA,5070,6184,6184,433951927,6183,95824617.9,5693,8150917.59,85,105550.2,5693,8253645.62,6184,100989359.31,413,1630197.24,5200,336724170,5147,84438490.67,953,3345078,83,1682309,72,1230791,281,1242150,196,1567353,56,842077,267,11045972,3997,4736832,623,381681,1450,11799312,1445,4936725,6184,453675584,1875,4187339,562,807067,2825,727037,243,539583,3794,4252020,4495,10513046,173,76704,167,142633,254,485545,2344,2019333,2840,1020099,5424,19564973,425,9362239,143,2365854,817,11852019,18,407812,1045,38109741,478,3591004.06,61,1378726,6,7442,64,321352,423,6066856,423,1470663.62,564,13797310,558,19895589,403,1917436,343,731092,318,255306.17,1114,19958164,920,10283054,573,1642425,1130,9881940,429,3630875,706,-5480130,1136,-1849255,142,722740,58,725890,170,3555534,539,1675178,26,674081,572,53063130,597,53737211,569,29521092,27,337215,580,23706045,606,24043260,518,6433686.28,284,1084459.88,545,237303.18,3783,1194612.37,4548,3963,2740280,391,135000.01,1010,421619.25
3927,Taxable,SA,5071,126,126,16621846,126,5229219.3,119,323697.72,3,3400.9,119,327098.62,126,5425220.07,3,9769.08,82,6228921,81,1717223,16,202123,2,75998,2,38017,2,12875,2,32559,2,58843,6,377349,88,214881,28,27168,49,1945770,49,819751,126,17423985,26,106955,7,35131,32,6706,3,13073,65,97232,71,259097,7,737,8,36351,14,37623,39,44057,66,49041,107,802139,6,270970,2,19978,20,400396,6,225842,45,3048246,16,106803.99,1,4180,0,0,1,1319,11,281242,11,77388.09,16,496398,25,741528,11,310362,8,4421,9,83689.26,42,1241319,28,426892,22,65049,43,543988,23,444248,21,-238858,44,205390,12,43350,0,0,11,303205,18,71781,1,700,15,6070842,16,6071542,16,2940429,1,486,15,3129489,16,3129975,13,1341502.3,7,42180.29,24,14416.84,57,20604.16,108,84,68423,3,1354.96,31,19754.76
3928,Taxable,SA,5072,5634,5634,443968435,5634,105323514.06,5310,8482803.83,68,84538.44,5311,8555878.67,5634,110487640.09,362,1467936.69,4599,315489999,4498,81879664.35,801,2850935,72,1617987,66,1723090,212,924690,157,1194769,71,1042195,241,10982895,3649,5879241,618,677704,1550,19187735,1548,7976718,5634,463534383,1689,3666178,497,775570,2188,549210,218,434556,3303,4138638,3866,9564152,177,73365,163,268990,254,802711,2123,1064526,2490,1150703,4833,19519430,366,8358700,152,2920886,867,11508370,27,1264628,1215,50494166,516,3720982.65,57,1140203,5,78180,64,605938,456,8204902,456,2486774.67,580,17521532,511,12159139,424,3434832,367,2085376,337,541968.38,1177,23002224,923,10762914,540,1675142,1183,11261136,487,5190793,705,-5887761,1193,-696968,161,982080,66,680047,206,4955753,520,1572820,14,393351,517,57810685,529,58204036,518,32506326,18,-6135,528,25614641,544,25608506,458,7369818.57,281,1134034.15,543,282117.35,3030,951618.36,4575,4043,2930740,297,115194.39,1166,561997.35
3929,Taxable,SA,5073,6593,6593,451646738,6593,97715334.84,6160,8554017.24,76,73215.08,6160,8625852.05,6593,102952730.03,414,1650002.4,5517,347964444,5443,85680408.72,998,3412388,83,1606282,82,1420483,281,1396576,192,1499972,66,716000,231,9468619,4171,5168172,613,364150,1477,9685611,1473,4090668,6593,470789563,2101,4505163,570,766390,2981,758262,247,515939,4063,4465164,4774,11010918,175,58477,148,250277,212,518028,2486,1192751,2934,1004062,5672,19085129,454,10522019,143,2273531,837,9973034,28,1130125,1186,46571540,481,3191214.63,74,2319593,4,30311,73,536828,431,9119689,431,2805261.45,539,19107182,484,8601039,413,2853784,351,1462561,322,209827.19,1312,23252744,1072,10560285,607,1526868,1339,11479866,562,5055071,784,-5369346,1347,-314275,156,613747,69,614065,176,3557925,505,1470357,11,441261,558,51019807,567,51455146,549,31703303,15,-65118,575,19467225,589,19402107,500,4604956.78,261,939211.24,656,302871.53,4060,1283388.5,5167,4539,3153402,374,120412.46,988,399404.21
