Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3202, VIC",803,57,55,31,0,74,0,0,0,0,0,1025
"3204, VIC",7296,1158,1523,1696,383,165,0,0,0,0,51,12275
"3205, VIC",382,1187,1042,376,162,2996,0,0,0,12,58,6210
"3206, VIC",846,994,1969,302,500,453,16,0,0,7,25,5110
"3207, VIC",448,2030,1618,301,720,3657,4,0,4,4,17,8789
"3211, VIC",494,0,0,0,0,0,0,0,0,0,0,500
"3212, VIC",5325,20,557,38,0,0,0,3,0,4,0,5950
"3213, VIC",1336,0,33,44,0,0,0,3,9,0,0,1424
"3214, VIC",9202,98,922,200,0,0,0,6,0,4,63,10509
"3215, VIC",7572,251,982,392,0,0,0,0,0,4,15,9211
"3216, VIC",19310,372,2879,280,0,0,0,72,172,5,162,23249
"3217, VIC",2368,10,12,0,0,0,0,0,0,0,0,2392
"3218, VIC",4688,194,453,1139,33,0,0,11,27,3,19,6572
"3219, VIC",7969,124,1203,180,0,0,0,0,0,8,35,9521
"3220, VIC",5116,661,1133,321,126,340,0,0,4,33,25,7774
"3221, VIC",264,0,0,0,0,0,0,0,0,0,0,264
"3222, VIC",6123,36,190,74,0,0,0,4,4,0,8,6435
"3223, VIC",5705,144,222,260,0,0,0,18,8,6,3,6367
"3224, VIC",5324,8,377,10,0,0,0,8,79,4,0,5815
"3225, VIC",3119,85,172,113,0,0,0,0,13,4,32,3540
"3226, VIC",6412,409,439,48,16,0,0,3,31,5,9,7368
"3227, VIC",2310,111,149,75,0,0,0,11,4,0,3,2663
"3228, VIC",7671,620,400,53,64,33,0,9,13,3,3,8873
"3230, VIC",2735,31,49,70,0,0,0,5,5,11,6,2917
"3231, VIC",1725,0,12,19,0,0,0,0,0,0,12,1775
"3232, VIC",1513,78,36,103,48,45,0,9,8,0,14,1848
"3233, VIC",1896,120,74,96,3,0,0,7,47,7,23,2272
"3234, VIC",473,0,0,3,0,0,0,6,5,0,0,479
"3235, VIC",243,0,0,0,0,0,0,0,0,0,0,246
"3236, VIC",143,0,0,0,0,0,0,0,0,0,0,147
"3237, VIC",175,0,0,0,0,0,0,0,0,3,0,184
"3238, VIC",169,0,3,0,0,0,0,0,0,0,0,178
"3239, VIC",256,0,0,0,0,0,0,4,0,4,0,263
"3240, VIC",744,0,0,0,0,0,0,0,0,12,0,753
"3241, VIC",1149,0,0,8,0,0,0,0,0,0,0,1157
"3242, VIC",418,0,0,0,0,0,0,0,0,0,0,416
"3243, VIC",190,0,0,0,0,0,0,0,0,0,0,192
"3249, VIC",1425,0,0,0,0,0,0,4,0,5,0,1433
"3250, VIC",4791,15,660,39,0,0,0,40,11,11,15,5579
"3251, VIC",241,0,0,0,0,0,0,0,0,0,0,242
"3254, VIC",128,0,0,0,0,0,0,0,0,0,0,131
"3260, VIC",2102,7,91,36,0,0,0,0,5,7,4,2253
"3264, VIC",960,0,0,85,0,0,0,5,0,0,6,1064
"3265, VIC",1068,0,6,4,0,0,0,0,3,0,0,1080
"3266, VIC",1289,0,34,26,0,0,0,0,3,0,8,1356
"3267, VIC",103,0,0,0,0,0,0,0,0,0,0,104
"3268, VIC",1175,0,0,10,0,0,0,0,0,0,3,1182
"3269, VIC",380,0,0,9,0,3,0,0,30,0,3,426
"3270, VIC",331,0,3,0,0,0,0,0,3,0,0,335
"3271, VIC",97,0,0,0,0,0,0,0,0,0,0,97
"3272, VIC",767,0,10,0,0,0,0,10,6,0,0,789
"3273, VIC",65,0,0,0,0,0,0,0,0,0,0,65
"3274, VIC",112,0,0,0,0,0,0,0,0,0,0,112
"3275, VIC",155,0,0,0,0,0,0,0,0,0,0,163
"3276, VIC",200,0,0,0,0,0,0,0,4,0,0,207
"3277, VIC",655,0,0,4,0,0,0,5,70,0,0,732
