Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3659, VIC",344,0,0,0,0,0,0,0,3,0,0,358
"3660, VIC",3174,5,40,291,0,0,0,35,8,5,8,3575
"3662, VIC",258,18,0,0,0,0,0,0,0,0,0,276
"3663, VIC",91,0,0,0,0,0,0,0,0,0,0,88
"3664, VIC",488,0,0,0,0,0,0,0,0,0,3,499
"3665, VIC",181,0,0,3,0,0,0,0,0,0,0,184
"3666, VIC",2314,0,114,61,0,0,0,16,7,19,12,2543
"3669, VIC",689,0,7,3,0,0,0,12,5,6,0,718
"3670, VIC",278,0,0,0,0,0,0,0,0,0,0,279
"3672, VIC",4526,3,71,384,46,56,0,3,15,7,11,5110
"3673, VIC",786,0,0,0,0,0,0,0,0,6,0,791
"3675, VIC",788,0,0,0,0,0,0,14,0,0,3,810
"3677, VIC",7001,62,1275,153,0,0,3,23,9,8,17,8546
"3678, VIC",2609,0,5,13,0,0,7,35,41,3,0,2715
"3682, VIC",254,0,0,0,0,0,0,0,0,0,0,254
"3683, VIC",723,0,0,23,0,0,0,12,10,0,6,788
"3685, VIC",1157,0,28,97,0,0,0,7,3,0,8,1299
"3687, VIC",416,0,0,57,0,0,0,0,0,0,0,476
"3688, VIC",480,0,0,0,0,0,0,0,0,0,4,481
"3690, VIC",12187,132,1718,439,0,0,0,29,31,15,22,14577
"3694, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3695, VIC",181,0,0,0,0,0,0,0,4,0,0,184
"3697, VIC",277,0,0,0,0,0,0,0,0,0,3,288
"3698, VIC",454,0,0,25,0,0,0,0,0,0,0,481
"3699, VIC",564,7,18,156,44,71,0,0,0,0,5,861
"3700, VIC",579,0,30,0,0,0,0,6,0,0,0,620
"3701, VIC",606,0,5,0,0,0,0,9,0,0,0,621
"3704, VIC",15,0,0,0,0,0,0,0,0,0,0,15
"3705, VIC",128,0,0,0,0,0,0,0,0,0,0,134
"3708, VIC",34,0,0,0,0,0,0,0,0,0,0,34
"3709, VIC",169,0,0,6,0,0,0,0,0,0,3,176
"3711, VIC",304,0,0,0,0,0,0,0,0,4,0,313
"3712, VIC",197,0,0,0,0,0,0,8,14,0,3,219
"3713, VIC",800,0,15,0,0,0,0,23,17,3,0,857
"3714, VIC",1657,0,129,26,0,0,0,33,26,14,16,1898
"3715, VIC",233,0,0,0,0,0,0,0,0,8,0,246
"3717, VIC",1368,0,13,35,0,0,0,12,15,6,0,1457
"3718, VIC",42,0,0,0,0,0,0,0,0,0,0,43
"3719, VIC",216,0,0,0,0,0,0,6,0,3,0,226
"3720, VIC",629,0,0,0,0,0,0,11,3,3,3,649
"3722, VIC",2321,0,49,23,0,0,0,17,25,0,8,2450
"3723, VIC",2459,0,10,149,113,243,0,9,22,30,5,3043
"3725, VIC",273,0,0,0,0,0,0,0,5,0,0,279
"3726, VIC",198,0,0,0,0,0,0,0,0,0,4,202
"3727, VIC",141,0,0,0,0,0,0,0,0,0,0,141
"3728, VIC",296,0,0,9,0,0,0,0,0,0,0,306
"3730, VIC",3947,55,134,243,0,0,0,5,12,4,4,4407
"3732, VIC",275,0,0,9,0,0,0,3,0,0,0,284
"3733, VIC",108,0,0,0,0,0,0,0,0,0,0,112
"3735, VIC",272,0,0,0,0,0,0,0,0,0,0,272
"3737, VIC",1976,11,82,6,0,0,0,6,6,0,6,2097
"3738, VIC",108,0,0,0,0,0,0,0,0,0,0,107
"3739, VIC",117,0,0,4,0,0,0,0,0,0,0,122
"3740, VIC",514,0,17,3,0,0,0,5,0,8,0,551
"3741, VIC",1578,91,114,203,60,150,0,11,46,4,5,2257
"3744, VIC",272,0,0,0,0,0,0,0,0,0,0,273
"3746, VIC",173,0,0,0,0,0,0,4,4,0,0,178
"3747, VIC",1914,0,58,91,0,0,0,10,4,0,6,2085
"3749, VIC",752,0,27,4,0,0,0,0,3,0,11,798
"3750, VIC",2804,92,61,71,0,0,0,0,0,0,0,3029
"3751, VIC",115,0,0,0,0,0,0,0,0,0,0,115
"3752, VIC",6646,724,591,54,35,0,0,0,0,0,4,8060
"3753, VIC",763,3,4,0,0,0,0,0,0,3,0,768
"3754, VIC",11655,673,837,84,54,6,0,0,3,0,4,13315
"3755, VIC",102,0,0,0,0,0,0,0,0,0,0,104
"3756, VIC",4102,9,168,48,0,0,0,0,5,0,0,4327
"3757, VIC",3190,18,118,51,0,0,0,0,0,25,4,3407
"3758, VIC",738,0,7,0,0,0,0,8,13,0,6,772
"3759, VIC",383,0,0,0,0,0,0,3,0,0,0,384
"3760, VIC",138,0,0,0,0,0,0,0,0,0,0,138
"3761, VIC",447,0,0,0,0,0,0,0,0,0,0,445
"3762, VIC",60,0,0,0,0,0,0,0,0,0,0,60
"3763, VIC",659,0,0,8,0,0,4,0,0,7,0,673
"3764, VIC",3200,28,262,60,0,0,0,29,43,0,0,3615
"3765, VIC",2238,14,165,37,0,0,0,0,0,0,0,2458
"3766, VIC",552,0,0,0,0,0,0,0,0,0,0,555
"3767, VIC",522,4,13,0,0,0,0,0,0,0,0,535
"3770, VIC",1175,0,0,0,0,0,0,0,0,7,0,1188
"3775, VIC",1464,0,54,0,0,0,0,3,0,0,0,1520
"3777, VIC",4114,25,332,16,0,3,0,8,47,0,3,4550
"3778, VIC",92,0,0,0,0,0,0,0,0,3,0,98
"3779, VIC",248,0,0,0,0,0,0,0,3,0,3,263
"3781, VIC",1664,0,0,0,0,0,0,0,0,0,0,1668
"3782, VIC",2924,0,0,11,0,0,0,0,6,0,0,2949
"3783, VIC",851,0,0,0,0,0,0,0,0,3,0,853
"3785, VIC",29,0,0,0,0,0,0,0,0,0,0,29
"3786, VIC",585,0,0,0,0,0,0,0,0,0,0,585
"3787, VIC",401,0,3,0,0,0,0,0,0,0,0,400
"3788, VIC",762,3,11,0,0,0,0,0,0,0,4,782
"3789, VIC",125,0,0,0,0,0,0,0,0,0,0,125
"3791, VIC",582,0,11,0,0,0,0,0,0,0,6,598
"3792, VIC",391,0,0,0,0,0,0,0,0,0,0,394
"3793, VIC",1341,3,35,5,0,0,0,0,0,0,3,1391
"3795, VIC",426,0,4,0,0,0,0,0,0,0,5,430
"3796, VIC",3384,21,102,0,0,0,0,0,0,0,4,3511
"3797, VIC",1355,8,20,31,0,0,0,34,37,3,5,1483
"3799, VIC",2760,0,23,19,0,0,0,48,6,8,13,2873
"3800, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3802, VIC",7642,347,532,4,0,0,4,5,6,0,0,8546
"3803, VIC",3032,177,475,3,0,0,0,0,0,0,6,3696
"3804, VIC",2393,3,19,0,0,0,0,0,0,0,0,2417
"3805, VIC",17114,212,740,248,0,0,0,32,90,0,9,18434
"3806, VIC",15061,596,1337,252,0,4,0,0,0,0,10,17254
"3807, VIC",2133,70,171,10,0,0,0,0,57,0,0,2450
"3808, VIC",981,0,0,6,0,0,0,0,0,0,0,988
"3809, VIC",2390,152,172,0,0,0,0,0,0,0,0,2705
"3810, VIC",15765,424,1593,101,0,0,0,26,34,15,10,17972
"3812, VIC",812,0,23,4,0,0,0,0,0,0,0,836
"3813, VIC",326,0,0,0,0,0,0,0,0,0,0,329
"3814, VIC",833,6,3,20,0,0,0,0,0,0,0,855
"3815, VIC",1025,0,72,38,0,0,0,6,5,0,0,1146
"3816, VIC",1025,0,31,6,0,0,0,18,0,0,0,1088
"3818, VIC",5288,0,261,253,0,0,0,30,60,5,3,5896
"3820, VIC",5829,52,372,586,0,0,0,12,22,0,6,6887
"3821, VIC",1174,0,3,0,0,0,0,0,0,0,0,1181
"3822, VIC",352,0,0,0,0,0,0,0,0,0,0,351
"3823, VIC",828,8,12,0,0,0,0,0,0,0,0,851
"3824, VIC",2018,4,64,56,0,0,0,5,0,0,0,2146
"3825, VIC",8455,10,1054,403,0,0,0,37,14,7,6,9975
"3831, VIC",713,0,14,4,0,0,0,0,0,0,0,739
"3832, VIC",141,0,0,0,0,0,0,0,0,0,0,138
"3833, VIC",235,0,0,9,0,0,0,0,0,0,0,245
"3835, VIC",194,0,0,0,0,0,0,0,0,0,0,194
"3840, VIC",6883,66,382,650,0,0,4,6,0,11,6,8010
"3842, VIC",2022,17,0,61,0,0,0,0,0,0,0,2107
"3844, VIC",11055,62,692,980,0,0,0,3,67,3,9,12881
"3847, VIC",942,0,0,0,0,0,0,0,0,0,3,947
"3850, VIC",5747,142,536,391,42,0,0,43,21,5,11,6938
"3851, VIC",4118,9,4,7,0,0,0,85,9,22,5,4265
"3852, VIC",10,0,0,0,0,0,0,0,0,0,0,10
"3854, VIC",538,0,0,0,0,0,0,0,0,0,0,534
"3856, VIC",388,0,0,0,0,0,0,0,0,0,0,388
"3857, VIC",142,0,0,0,0,0,0,0,0,0,3,149
"3858, VIC",1360,0,19,5,0,0,0,7,0,5,5,1400
"3859, VIC",367,0,0,0,0,0,0,6,0,0,0,374
"3860, VIC",3279,0,15,64,0,0,0,0,11,29,11,3422
"3862, VIC",1359,0,0,0,0,0,0,9,15,6,0,1398
"3864, VIC",95,0,0,0,0,0,0,0,0,0,0,95
"3865, VIC",180,0,0,0,0,0,0,0,0,0,0,180
"3869, VIC",652,0,4,11,0,0,0,0,0,0,0,678
"3870, VIC",599,0,16,0,0,0,0,3,3,0,0,615
"3871, VIC",1237,0,9,40,0,0,0,0,3,0,4,1287
"3873, VIC",129,0,0,0,0,0,0,0,0,0,0,129
"3874, VIC",376,0,0,0,0,0,0,10,10,4,3,404
"3875, VIC",7769,47,385,162,0,4,0,10,30,10,9,8427
"3878, VIC",544,0,0,0,0,0,0,3,0,0,0,554
"3880, VIC",2201,25,209,88,0,0,0,36,9,0,3,2568
"3882, VIC",432,0,3,5,0,0,0,8,39,0,0,490
"3885, VIC",861,0,17,0,0,0,0,0,5,0,3,893
"3886, VIC",177,0,0,0,0,0,0,0,0,0,0,178
"3887, VIC",161,0,0,0,0,0,0,6,0,0,0,166
"3888, VIC",1853,3,10,81,0,0,0,19,8,11,4,1994
"3889, VIC",154,0,0,6,0,0,0,8,4,4,0,173
"3890, VIC",215,0,11,0,0,0,0,0,0,3,0,234
"3891, VIC",103,0,0,0,0,0,0,9,0,3,0,119
"3892, VIC",769,0,38,0,0,0,0,17,5,6,3,841
"3893, VIC",21,0,0,0,0,0,0,0,0,0,0,21
"3895, VIC",127,0,0,0,0,0,0,0,0,0,0,126
"3896, VIC",225,0,0,8,0,0,0,4,4,7,0,238
"3898, VIC",638,77,5,45,10,5,0,11,5,14,3,802
"3900, VIC",117,0,0,0,0,0,0,3,0,0,0,125
"3902, VIC",156,0,0,0,0,0,0,0,34,0,0,188
"3903, VIC",356,0,0,0,0,0,0,0,10,0,0,368
"3904, VIC",953,3,3,0,0,0,0,0,4,0,9,972
"3909, VIC",3999,46,167,126,0,0,3,74,53,7,16,4485
"3910, VIC",7198,103,1148,125,0,0,0,0,132,0,7,8707
"3911, VIC",1225,0,89,0,0,0,0,0,0,0,0,1319
"3912, VIC",4797,56,759,25,0,0,0,23,25,5,0,5691
"3913, VIC",1132,30,102,0,0,0,0,0,0,0,0,1265
"3915, VIC",3400,194,816,21,0,0,0,11,40,5,0,4488
"3916, VIC",760,0,0,0,0,0,0,0,0,0,5,765
"3918, VIC",1359,0,91,5,0,0,0,4,0,7,0,1463
"3919, VIC",1079,0,250,15,0,0,0,4,0,0,0,1349
"3920, VIC",109,0,0,0,0,0,0,0,0,0,0,109
"3921, VIC",91,0,0,0,0,0,0,3,3,4,0,101
"3922, VIC",7780,224,409,202,67,0,0,7,4,8,10,8716
"3923, VIC",479,0,0,0,0,0,0,0,0,0,0,486
"3925, VIC",2686,88,48,51,0,18,0,10,5,5,5,2924
"3926, VIC",1811,5,10,0,0,0,0,0,0,0,0,1832
"3927, VIC",1190,0,0,0,0,0,0,0,0,0,0,1198
"3928, VIC",274,0,0,0,0,0,0,0,0,0,0,275
"3929, VIC",921,0,0,13,0,0,4,0,0,0,10,943
"3930, VIC",6195,44,278,270,0,3,0,0,0,4,0,6793
"3931, VIC",7734,451,495,2403,52,0,4,12,117,7,7,11284
"3933, VIC",370,0,0,0,0,0,0,0,0,0,0,374
"3934, VIC",7122,273,699,50,0,0,0,3,0,0,0,8143
"3936, VIC",6540,616,545,100,51,0,0,42,87,0,8,7987
"3937, VIC",879,0,0,0,0,0,0,0,0,0,0,879
"3938, VIC",1882,39,68,0,0,0,0,0,0,3,3,1996
"3939, VIC",8009,156,426,330,0,0,0,30,6,8,9,8980
"3940, VIC",2544,96,720,107,0,0,0,3,62,3,5,3546
"3941, VIC",11183,119,409,36,0,0,0,50,0,13,9,11820
"3942, VIC",3426,11,21,5,0,0,0,0,0,0,3,3468
"3943, VIC",2853,64,20,70,31,3,0,0,6,3,3,3044
"3944, VIC",1334,41,29,3,28,0,0,0,0,3,0,1446
"3945, VIC",474,0,0,0,0,0,0,0,0,0,7,480
"3946, VIC",97,0,0,0,0,0,0,0,0,0,3,102
"3950, VIC",2035,0,133,22,0,0,3,12,3,3,0,2209
"3951, VIC",476,0,0,0,0,0,0,0,0,4,0,484
"3953, VIC",3177,10,101,189,0,0,0,5,0,4,3,3489
"3954, VIC",165,0,0,0,0,0,0,0,0,0,0,165
"3956, VIC",2789,0,0,13,0,0,0,9,5,10,3,2836
"3957, VIC",131,0,0,0,0,0,0,0,4,0,0,129
"3958, VIC",141,0,0,0,0,0,0,0,8,0,0,150
"3959, VIC",1228,6,3,0,0,0,0,14,3,0,4,1268
"3960, VIC",1394,0,42,45,0,0,0,14,0,0,0,1506
"3962, VIC",513,0,12,0,0,0,0,6,0,3,16,549
"3964, VIC",86,0,0,0,0,0,0,0,0,0,0,93
"3965, VIC",116,0,0,0,0,0,0,6,4,0,0,126
"3966, VIC",274,0,0,0,0,0,0,0,0,3,5,287
"3967, VIC",67,0,0,0,0,0,0,0,0,0,0,67
"3971, VIC",2130,0,65,27,0,0,0,23,32,12,14,2297
"3975, VIC",4128,178,92,5,28,0,0,0,0,0,0,4431
"3976, VIC",7712,121,402,15,22,12,4,0,0,4,29,8317
"3977, VIC",28098,504,3283,482,0,5,0,8,8,14,9,32403
"3978, VIC",3597,102,126,12,0,0,0,0,0,0,0,3836
"3979, VIC",138,0,0,0,0,0,0,0,0,0,0,146
"3980, VIC",1260,0,3,4,0,0,0,15,27,4,0,1314
"3981, VIC",1814,0,32,0,0,0,0,5,0,0,0,1848
"3984, VIC",3069,0,38,4,0,0,0,68,0,9,6,3196
"3987, VIC",567,0,0,0,0,0,0,4,0,3,0,569
"3988, VIC",430,0,0,0,0,0,0,0,0,0,4,429
"3990, VIC",53,0,0,0,0,0,0,0,0,0,0,52
"3991, VIC",187,0,4,0,0,0,0,0,0,0,4,192
"3992, VIC",478,0,0,0,0,0,0,3,7,0,0,486
"3995, VIC",5334,33,199,42,0,0,0,39,107,4,4,5765
"3996, VIC",3875,121,223,93,0,0,0,4,16,0,0,4331
