Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3911,1122,7,0,6,0,0,0,0,0,8,1143
3912,4835,201,0,217,0,8,8,43,0,3,5325
3913,969,13,0,12,0,0,0,0,0,0,997
3915,2588,311,68,182,0,0,3,118,4,5,3271
3916,667,0,0,0,0,0,0,3,0,0,673
3918,1133,5,0,3,0,0,0,0,0,0,1137
3919,1020,3,0,71,0,0,0,3,0,0,1100
3920,133,0,0,0,0,0,0,7,0,0,134
3921,83,0,0,0,0,0,0,0,7,0,91
3922,6687,175,115,221,59,0,0,16,0,11,7284
3923,422,0,0,9,3,0,0,7,0,0,449
3925,2308,49,32,75,0,0,0,15,0,16,2498
3926,1752,0,0,26,0,0,0,0,0,0,1783
3927,1034,0,0,0,0,0,0,9,0,0,1050
3928,389,0,0,0,0,0,0,3,0,0,389
3929,809,0,0,0,0,0,0,0,0,0,806
3930,5981,319,27,62,5,6,8,6,0,8,6415
3931,7451,1001,219,1013,18,0,3,127,0,26,9852
3933,327,0,0,0,0,0,3,0,0,0,330
3934,6257,241,72,166,0,0,3,5,0,4,6751
3936,5709,173,21,179,0,4,3,33,0,4,6130
3937,922,0,0,0,0,0,0,26,0,5,954
3938,1605,48,14,46,0,0,0,0,0,0,1714
3939,7013,303,15,475,0,0,0,29,7,6,7844
3940,2309,667,0,197,3,7,7,61,7,0,3260
3941,10495,172,26,203,0,10,3,58,3,29,11008
3942,3251,4,0,16,0,0,0,0,0,0,3268
3943,2694,12,5,85,23,0,5,4,0,4,2834
3944,1198,26,0,9,0,0,0,0,5,10,1247
3945,657,0,0,0,0,0,0,12,3,11,685
3946,101,0,0,0,0,0,0,0,0,0,105
3950,1551,31,15,97,0,0,0,14,0,0,1720
3951,357,0,0,0,0,0,0,0,0,0,360
3953,2784,87,7,137,0,0,0,18,0,0,3035
3954,178,0,0,0,0,0,0,0,0,0,178
3956,2410,3,0,4,0,0,0,6,21,0,2451
3958,130,0,0,0,0,0,0,0,0,0,129
3959,1020,17,0,6,0,0,0,20,0,3,1072
3960,1284,0,0,110,0,0,0,38,7,3,1441
3962,525,16,0,0,0,0,0,4,0,10,556
3964,77,0,0,0,0,0,0,0,0,0,77
3965,169,0,0,6,0,0,0,12,0,3,188
3966,269,0,0,0,0,0,0,4,0,0,272
3971,2064,76,3,111,0,0,0,46,7,5,2312
3975,1642,39,38,0,0,0,0,3,0,0,1719
3976,6985,312,28,190,0,0,4,3,0,4,7526
3977,15627,595,74,1180,0,7,8,16,20,11,17540
3978,434,0,0,0,0,0,0,0,0,0,434
3980,1085,9,0,6,0,0,0,24,0,3,1124
3981,1352,41,0,63,0,0,0,0,3,11,1466
3984,2509,4,0,52,0,0,3,38,8,4,2615
3987,373,0,0,0,0,0,0,0,5,4,383
3988,333,0,0,0,0,0,0,0,0,8,344
3991,450,0,0,0,0,0,0,3,6,0,464
3992,285,0,0,0,0,0,3,0,0,3,285
3995,4306,15,6,317,0,0,3,130,4,9,4796
3996,3148,49,66,173,11,0,5,3,0,0,3464
3999,0,0,0,0,0,0,0,0,0,0,0
