Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3269,446,0,37,14,0,0,0,43,0,0,543
3270,255,0,0,0,0,0,0,18,0,0,273
3271,142,0,0,0,0,0,0,0,0,0,143
3272,729,10,0,0,0,0,0,6,0,0,744
3274,207,0,0,0,0,0,0,0,0,0,207
3275,261,0,0,0,0,0,0,0,0,3,265
3276,259,0,0,0,0,0,0,0,0,0,261
3277,591,0,0,5,0,0,0,13,0,0,606
3278,163,0,0,0,0,0,0,0,0,0,163
3279,135,0,0,3,0,0,0,12,3,9,153
3280,9315,948,181,1362,61,28,8,71,3,93,12063
3281,160,0,0,0,0,0,0,0,0,0,160
3282,641,6,3,21,0,0,0,8,0,3,683
3283,585,0,0,0,0,0,0,9,3,0,595
3284,1544,82,23,69,0,0,0,26,0,14,1758
3285,566,0,0,0,0,0,0,3,0,0,575
3286,372,0,0,6,0,0,3,0,0,3,387
3287,159,0,0,0,0,0,0,0,0,0,159
3289,355,0,0,12,0,0,0,3,0,6,376
3292,241,0,0,0,0,0,0,3,3,0,255
3293,142,0,0,0,0,0,0,0,0,0,146
3294,431,0,0,15,0,0,0,4,0,4,461
3300,4439,91,3,305,0,0,5,63,0,12,4931
3301,213,0,0,0,0,0,0,0,0,0,216
3302,199,0,0,0,0,0,0,0,0,0,201
3303,168,0,0,0,0,0,0,0,0,0,168
3304,1243,0,0,31,0,0,0,12,5,4,1294
3305,5019,119,6,384,0,0,3,60,15,34,5640
3310,204,0,0,0,0,0,0,0,0,0,209
3311,746,3,7,40,0,0,0,3,0,5,804
3312,607,0,0,0,0,0,0,8,3,0,617
3314,335,0,0,0,0,0,0,0,0,7,338
3315,837,0,0,29,0,0,0,11,3,22,891
3317,49,0,0,0,0,0,0,0,0,0,47
3318,716,0,0,46,0,0,0,4,0,8,780
3319,156,0,0,5,0,0,0,0,0,0,168
3321,474,0,0,3,0,0,0,0,3,3,485
3322,60,0,0,0,0,0,0,0,0,0,59
3323,59,0,0,0,0,0,0,0,0,0,58
3324,389,0,0,0,0,0,0,11,0,0,400
3325,350,0,0,13,0,0,0,3,0,3,368
3328,497,0,0,0,0,0,0,3,5,3,507
3330,115,0,0,3,0,0,0,0,0,3,126
3331,1170,0,0,3,0,0,3,12,11,0,1196
3332,308,0,0,0,0,0,3,0,0,0,308
3333,193,0,0,12,0,0,0,0,0,4,215
3334,201,0,0,0,0,0,0,7,0,0,211
3335,502,0,0,0,0,0,0,100,0,0,601
3337,8805,310,13,300,3,6,0,8,7,12,9453
3338,4023,105,0,418,4,6,9,4,0,8,4585
3340,5541,31,21,380,3,10,3,35,14,9,6042
3341,529,0,0,0,0,0,0,0,0,0,530
3342,1411,39,0,18,0,0,4,16,3,5,1499
3345,427,0,0,0,0,0,0,9,0,3,439
3350,18162,960,220,2289,46,0,27,59,13,103,21874
3351,2744,0,0,3,0,0,3,14,9,11,2787
3352,5126,68,3,20,0,0,9,58,23,12,5308
3355,4691,58,55,565,14,0,3,3,0,0,5393
3356,4335,102,6,776,0,3,3,5,0,13,5239
3357,814,8,0,64,0,0,0,0,0,4,887
3360,259,0,0,0,0,0,0,0,0,12,270
3361,314,0,0,6,0,0,0,7,0,4,326
3363,1187,7,0,76,0,0,5,6,0,15,1297
3364,769,4,0,0,0,0,0,0,9,0,780
3370,744,3,0,18,0,0,3,8,0,11,789
3371,597,9,7,0,0,0,0,9,4,3,630
3373,930,8,0,17,0,0,0,9,5,6,966
3375,90,0,0,0,0,0,0,0,0,0,90
3377,3806,101,0,172,0,0,6,65,3,17,4161
3379,449,0,0,5,0,0,0,0,0,3,454
3380,2414,65,3,210,0,3,0,23,0,35,2751
3381,1343,7,9,10,0,0,0,18,20,0,1401
3384,253,0,0,0,0,0,0,7,0,5,267
3387,99,0,0,0,0,0,0,0,0,6,101
3388,279,5,0,4,0,0,0,0,0,5,289
3390,475,0,0,15,0,0,0,3,0,10,501
3391,69,0,0,0,0,0,0,0,0,0,69
3392,221,12,0,0,0,0,0,0,0,3,237
3393,1325,8,3,32,0,0,0,3,0,6,1369
3395,225,0,0,10,0,0,0,3,0,0,234
3396,284,0,0,9,0,0,0,0,0,0,291
3400,5083,334,18,658,0,0,4,14,3,9,6132
