Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3000, Vic",7,37,45,1024,387,11581,0,0,47,7,13139
"3002, Vic",99,135,462,224,1004,920,3,0,11,6,2875
"3003, Vic",47,270,326,314,269,521,0,0,12,4,1762
"3004, Vic",5,7,0,111,419,4333,0,0,4,0,4880
"3005, Vic",0,0,0,0,0,410,0,0,0,3,413
"3006, Vic",0,0,158,13,350,6565,3,0,9,0,7093
"3008, Vic",0,14,85,29,0,3415,0,11,0,0,3564
"3010, Vic",8,0,10,0,13,0,0,0,0,0,26
"3011, Vic",4416,424,677,1480,713,594,13,0,4,51,8373
"3012, Vic",6318,723,688,1742,293,318,14,31,10,22,10159
"3013, Vic",4625,192,458,612,100,46,3,0,0,36,6070
"3015, Vic",4749,614,959,653,49,0,4,0,0,44,7080
"3016, Vic",3720,659,741,749,138,190,9,92,3,37,6342
"3018, Vic",3988,373,247,853,41,12,4,0,3,15,5539
"3019, Vic",1894,383,101,643,0,13,0,38,0,19,3088
"3020, Vic",12621,681,298,1433,122,55,19,0,8,63,15298
"3021, Vic",16029,687,238,1563,159,187,25,3,4,26,18919
"3022, Vic",1046,20,13,44,0,0,3,49,0,0,1179
"3023, Vic",16818,745,725,450,0,0,4,0,0,4,18741
"3024, Vic",6458,36,10,97,12,0,3,3,7,0,6632
"3025, Vic",3703,248,219,348,42,0,0,0,0,10,4569
"3026, Vic",0,0,0,0,0,0,0,67,0,0,75
"3027, Vic",1056,20,103,40,0,0,0,0,0,0,1221
"3028, Vic",9787,248,100,694,6,0,0,0,0,4,10834
"3029, Vic",22021,1133,208,768,10,46,4,3,0,10,24207
"3030, Vic",25306,1135,795,1456,26,155,7,87,3,14,28980
"3031, Vic",2164,1018,1752,509,1169,1905,4,0,15,12,8546
